source_sheet,source_row,source_number,category_raw,brand_raw,type_raw,motif_raw,rack_number,box_number,status,current_borrower_name,notes,source_checksum
Sheet1,32,29,Tile,Artile,Sanctuary,Sanctum,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,33,30,Tile,Artile,Sanctuary,Nebula,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,34,31,Tile,Artile,Forte,Vivo,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,35,32,Tile,Artile,Terrain,Brezza,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,36,,Tile,Mozza tile,Glossy,pink,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,37,,Tile,Mozza tile,Celine peach,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,38,,Tile,,21S553,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,39,,Tile,,18S530,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,40,,Tile,Venus,Takko Sqaure white matte,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,41,49,Tile,Wisma sehati,Cement,Grey Matt,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,42,,Tile,Wisma sehati,Cement,dark Grey Matt,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,43,,Tile,Wisma sehati,Cement,Light grey matt,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,44,,Tile,Wisma sehati,Terazzo,White,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,45,,Tile,Wisma sehati,ZH 6497 Gravity,Light grey,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,46,,Tile,Niro granite,GNL 01 MP,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,47,,Tile,Roman granit,GT 602153R,Darlington taupe,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,48,,Tile,Roman,G330504,,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,49,,Tile,Wisma sehati,Antique Stone,Dark Grey GL Matt,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,50,33,Tile,Elegenza,Tovino Grigio,-,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,51,34,Tile,Elegenza,Carara Moderne,White,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,52,35,Tile,Elegenza,Terazo,Beige,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,53,36,Tile,Titanium,Terrazzo Nova,White,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,54,37,Tile,Titanium,Terrazzo Milano,Grey,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,55,38,Tile,Titanium,Terrazzo Cement,White,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,56,39,Tile,Titanium,Terrazzo Silkstone,White,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,57,40,Tile,Titanium,Terrazzo Trento,Greige,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,58,41,Tile,Titanium,Terrazzo Portland,Grey,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,59,42,Tile,Titanium,Terrazzo Pompei,White,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,60,43,Tile,Infiniti,Terrazzo Venice,White Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,61,44,Tile,Infiniti,Terrazzo Venice,Brown Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,62,45,Tile,Infiniti,Costa,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,63,46,Tile,Infiniti,Galileo,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,64,47,Tile,Infiniti,Meteor,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,65,48,Tile,Infiniti,Cemento,White Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,66,49,Tile,Infiniti,Cemento,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,67,50,Tile,Infiniti,Cemento,Cream Matt,1,2,BORROWED,berkah,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,68,51,Tile,Infiniti,Terrazzo Venice D.,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,69,52,Tile,Infiniti,Terrazzo Venice,Grey Matt,1,2,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,70,53,Tile,Roman,GT602151R,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,71,54,Tile,Roman,GT602138R,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,72,55,Tile,Roman,G220501 Venere dust,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,73,56,Tile,Roman,GT602153R,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,74,57,Tile,Roman,G224001 Sandstone Bone,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,75,58,Tile,Roman,GT602154R DMarseille Bone,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,76,59,Tile,Roman,G330800 dLastrico Ash,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,77,60,Tile,Roman,GT602600R dTerazzo Bone,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,78,61,Tile,Roman,GT602157R dMarseille Coffee,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,79,62,Tile,Roman,GT602155R dMarseille Beige,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,80,63,Tile,Roman,G330801 dLastrico Grey,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,81,64,Tile,Roman,GT602156R dMarseille Grey,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,82,65,Tile,Roman,GT602023R dBali Beige,,1,3,BORROWED,berkah,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,83,66,Tile,Roman,GT602602R dTerazzo Charcoal,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,84,67,Tile,Roman,GT1262003R dConcreto Grigio,,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,85,68,Tile,Roman,GT912237R,Mahony pine,1,3,BORROWED,berkah,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,86,69,Tile,Roman,GT912238R,Mahony rosato,1,3,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,87,82,Tile,Niro,GCA05,,1,4,BORROWED,Berkah,Di ambil mas ber,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,88,71,Tile,Venus,Marble Sand ivory,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,89,72,Tile,DPhaus,Beton Grigio,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,90,73,Tile,DPhaus,Florence,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,91,74,Tile,DPhaus,Engineering Stone W,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,92,75,Tile,DPhaus,Terrazzo Nero,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,93,76,Tile,Venus,FS0013mc,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,94,77,Tile,Venus,WSSZ009M,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,95,78,Tile,Venus,YS60303,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,96,79,Tile,Venus,YS60231,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,97,80,Tile,Venus,YS60232,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,98,81,Tile,Venus,ICC upstone cloud,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,99,83,Tile,Dphaus,Terrazo blue chip,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,100,70,Tile,Niro Granite,GTG06 Arini,,1,4,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,101,84,Tile,Wisma sehati,HY-HG60069,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,102,85,Tile,Wisma sehati,HY-HG60064,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,103,86,Tile,Wisma sehati,Elora sand stone,beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,104,87,Tile,Wisma sehati,Elora RC36802 cement,grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,105,88,Tile,Wisma sehati,Elora K32303 terazo,White,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,106,89,Tile,Wisma sehati,Elora RC36803 cement,Dark grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,107,90,Tile,Wisma sehati,Allia Antique Stone,Light Grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,108,92,Tile,Wisma sehati,Allia mz120lismore,Light grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,109,93,Tile,Wisma sehati,Elora Sand stone,Black,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,110,94,Tile,Wisma sehati,Elora sand stone,Grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,111,95,Tile,Wisma sehati,Rocky,Beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,112,96,Tile,Wisma sehati,Galaxy,Dark grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,113,97,Tile,Wisma sehati,lava,Grey matt,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,114,98,Tile,Wisma sehati,Turkish sand stone,Dark grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,115,99,Tile,Wisma sehati,Burlington,Black matt,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,116,100,Tile,Wisma sehati,Elora RC 36862,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,117,101,Tile,Wisma sehati,Kiel,Beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,118,102,Tile,Wisma sehati,Soho Ash 6003,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,119,103,Tile,Wisma sehati,Galaxy,Dark grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,120,104,Tile,Wisma sehati,Allia MCP zh6497 Gravity,Light grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,121,105,Tile,Wisma sehati,Opus almond,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,122,106,Tile,Wisma sehati,Elora K32303A terazo,Grey,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,123,107,Tile,Wisma sehati,Elora gravel stone,Beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,124,108,Tile,Wisma sehati,Opus ash GJWOTASN01P,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,125,109,Tile,Wisma sehati,Allia Q9906D,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,126,110,Tile,Wisma sehati,Elora Gravel stone,Beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,127,111,Tile,Wisma sehati,Opus Under,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,128,112,Tile,Wisma sehati,Elora stone light grey,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,129,113,Tile,Wisma sehati,Rocky,Cream,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,130,114,Tile,Wisma sehati,Elora Gravel stone,Dark brown,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,131,115,Tile,Wisma sehati,Elora Stone Age,Beige,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,132,116,Tile,Wisma sehati,Galaxy brown rough,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,133,117,Tile,Wisma sehati,Impac ivory,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,134,118,Tile,Wisma sehati,lava,White matt,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,135,119,Tile,Wisma sehati,Ice stone brown gizmatt 2.0,,1,5,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,136,120,Tile,Niro,GHR 03,,1,6,BORROWED,Nofan,Sample untuk proyek CP,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,137,91,Tile,Wisma sehati,Allia Q9908D Antique stone,Dark grey,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,138,121,Tile,Niro,GIP 03,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,139,122,Tile,Niro,GCA 01 MP,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,140,123,Tile,Niro,GHR 05,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,141,124,Tile,Niro,GNX 04,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,142,125,Tile,Niro,GTZ 01,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,143,126,Tile,Niro,GTE 05 MP,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,144,127,Tile,Niro,GPB 05,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,145,,Tile,Niro,Clay art GCA04,Matt,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,146,,Tile,Niro,Plar black GPB03 moon rock,Matt,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,147,,Tile,Niro,Urbane GUR05 Berlin,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,148,,Tile,Granito,Stardust vesta,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,149,,Tile,Granito,Stardust universe,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,150,,Tile,Granito,Stardust minerva,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,151,,Tile,Granito,Stardust moonlight,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,152,,Tile,Granito,Stardust Pallas,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,153,,Tile,Granito,Stardust Eris,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,154,,Tile,Granito,Stardust Lyra,,1,6,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,155,145,Tile,Niro,GNL 01 mp,,1,7,BORROWED,Berkah,Di ambil mas ber,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,156,128,Tile,Guocera,Sugi grey wood,,1,7,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,157,129,Tile,Roman,GT612210R,Dalder maple,1,7,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,158,130,Tile,Roman,Douglas wood,,1,7,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,159,131,Tile,Roman,GT912201R,Beige,1,7,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
