sample_candidate_key,source_sheet,source_row,source_no,source_category,source_brand,source_type,source_motif,vendor_key_candidate,vendor_key_confirmed,brand_confirmed,sku_confirmed,rack_number,box_number,quantity,status_candidate,current_borrower_name,notes,sample_status,blocker_reasons,decision_notes
sample_sheet1_r0014,Sheet1,14,11,Tile,Artile,Sanctuary,Haven,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_5bc101c5c1b2
sample_sheet1_r0015,Sheet1,15,12,Tile,Artile,Sanctuary,Gain,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_ebf2bf1aa309
sample_sheet1_r0016,Sheet1,16,13,Tile,Artile,Maison,White Birch Wood,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_071c287b7af8
sample_sheet1_r0017,Sheet1,17,14,Tile,Artile,Sanctuary,Space,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_21b70202d953
sample_sheet1_r0018,Sheet1,18,15,Tile,Artile,Forte,Dawn,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_8e0078698a21
sample_sheet1_r0019,Sheet1,19,16,Tile,Artile,Maison,Brown Pine wood,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_24555ca7eda0
sample_sheet1_r0020,Sheet1,20,17,Tile,Artile,Outback,Wombat,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_2ac8def619c1
sample_sheet1_r0021,Sheet1,21,18,Tile,Artile,Outback,Brumby,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_c185ecc6be4a
sample_sheet1_r0022,Sheet1,22,19,Tile,Artile,Outback,Wallaby,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_39eced7624b4
sample_sheet1_r0023,Sheet1,23,20,Tile,Artile,Outback,Dingo,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_893c144ef6eb
sample_sheet1_r0024,Sheet1,24,21,Tile,Salsa,Oasis,Pearl white,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_98608077afad
sample_sheet1_r0025,Sheet1,25,22,Tile,Salsa,Crystal,Pearl white,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_a569fbc07927
sample_sheet1_r0026,Sheet1,26,23,Tile,Artile,Maison,Natural oak wood,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_f0cf8f56858a
sample_sheet1_r0027,Sheet1,27,24,Tile,Artile,Sanctuary,Nebula,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_30513410dbd0
sample_sheet1_r0028,Sheet1,28,25,Tile,Artile,Sanctuary,Gaia,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_5f4b563018f3
sample_sheet1_r0029,Sheet1,29,26,Tile,Artile,Sanctuary,Space,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_21b70202d953
sample_sheet1_r0030,Sheet1,30,27,Tile,Artile,Sanctuary,Stella,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_ce0a1f13daf2
sample_sheet1_r0031,Sheet1,31,28,Tile,Artile,Sanctuary,Haven,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_5bc101c5c1b2
sample_sheet1_r0032,Sheet1,32,29,Tile,Artile,Sanctuary,Sanctum,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_8fa73167aa97
sample_sheet1_r0033,Sheet1,33,30,Tile,Artile,Sanctuary,Nebula,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_30513410dbd0
sample_sheet1_r0034,Sheet1,34,31,Tile,Artile,Forte,Vivo,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_b5207ebf0de7
sample_sheet1_r0035,Sheet1,35,32,Tile,Artile,Terrain,Brezza,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_a68664b2a8ce
sample_sheet1_r0036,Sheet1,36,,Tile,Mozza tile,Glossy,pink,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_299f21d1682c
sample_sheet1_r0037,Sheet1,37,,Tile,Mozza tile,Celine peach,,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_568b926d4a53
sample_sheet1_r0038,Sheet1,38,,Tile,,21S553,,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat; Brand kosong,Material candidate: matcand_sample_ecf9a75d9888
sample_sheet1_r0039,Sheet1,39,,Tile,,18S530,,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat; Brand kosong,Material candidate: matcand_sample_edab461abf1a
sample_sheet1_r0040,Sheet1,40,,Tile,Venus,Takko Sqaure white matte,,ven_b8b22aedc372,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_03609d31b739
sample_sheet1_r0041,Sheet1,41,49,Tile,Wisma sehati,Cement,Grey Matt,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_b3b9a6c5933b
sample_sheet1_r0042,Sheet1,42,,Tile,Wisma sehati,Cement,dark Grey Matt,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_f4ed4e4a585b
sample_sheet1_r0043,Sheet1,43,,Tile,Wisma sehati,Cement,Light grey matt,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_d0b9503f3362
sample_sheet1_r0044,Sheet1,44,,Tile,Wisma sehati,Terazzo,White,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_0edafe1c6c72
sample_sheet1_r0045,Sheet1,45,,Tile,Wisma sehati,ZH 6497 Gravity,Light grey,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_be39386890d4
sample_sheet1_r0046,Sheet1,46,,Tile,Niro granite,GNL 01 MP,,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_a00e62c1d578
sample_sheet1_r0047,Sheet1,47,,Tile,Roman granit,GT 602153R,Darlington taupe,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_b6b319bbc851
sample_sheet1_r0048,Sheet1,48,,Tile,Roman,G330504,,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_35205c819d4d
sample_sheet1_r0049,Sheet1,49,,Tile,Wisma sehati,Antique Stone,Dark Grey GL Matt,ven_c1ab493c45f7,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_ccac96abf6f9
sample_sheet1_r0050,Sheet1,50,33,Tile,Elegenza,Tovino Grigio,,,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_20c8537bf4d3
sample_sheet1_r0051,Sheet1,51,34,Tile,Elegenza,Carara Moderne,White,,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_367c6db15ed2
sample_sheet1_r0052,Sheet1,52,35,Tile,Elegenza,Terazo,Beige,,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_ed40e8a2531a
sample_sheet1_r0053,Sheet1,53,36,Tile,Titanium,Terrazzo Nova,White,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_8a0639083d23
sample_sheet1_r0054,Sheet1,54,37,Tile,Titanium,Terrazzo Milano,Grey,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_35b734a9d7a2
sample_sheet1_r0055,Sheet1,55,38,Tile,Titanium,Terrazzo Cement,White,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_f17d881e4899
sample_sheet1_r0056,Sheet1,56,39,Tile,Titanium,Terrazzo Silkstone,White,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_ab9123d07830
sample_sheet1_r0057,Sheet1,57,40,Tile,Titanium,Terrazzo Trento,Greige,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_564ce13a267f
sample_sheet1_r0058,Sheet1,58,41,Tile,Titanium,Terrazzo Portland,Grey,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_5620b935a6e1
sample_sheet1_r0059,Sheet1,59,42,Tile,Titanium,Terrazzo Pompei,White,ven_d37f48d80411,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_518d35632a3a
sample_sheet1_r0060,Sheet1,60,43,Tile,Infiniti,Terrazzo Venice,White Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_3d001f6cee7d
sample_sheet1_r0061,Sheet1,61,44,Tile,Infiniti,Terrazzo Venice,Brown Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_c86019481ed0
sample_sheet1_r0062,Sheet1,62,45,Tile,Infiniti,Costa,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_e5f904275baf
sample_sheet1_r0063,Sheet1,63,46,Tile,Infiniti,Galileo,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_87384b6c1282
sample_sheet1_r0064,Sheet1,64,47,Tile,Infiniti,Meteor,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_e9567c602ad1
sample_sheet1_r0065,Sheet1,65,48,Tile,Infiniti,Cemento,White Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_55b88f37cfc2
sample_sheet1_r0066,Sheet1,66,49,Tile,Infiniti,Cemento,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_ece6528518e2
sample_sheet1_r0067,Sheet1,67,50,Tile,Infiniti,Cemento,Cream Matt,ven_b0fbddb4123c,,,,1,2,1,BORROWED,berkah,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_cccfa9fd4305
sample_sheet1_r0068,Sheet1,68,51,Tile,Infiniti,Terrazzo Venice D.,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_815e52fb8b4f
sample_sheet1_r0069,Sheet1,69,52,Tile,Infiniti,Terrazzo Venice,Grey Matt,ven_b0fbddb4123c,,,,1,2,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_c870fb691ef1
sample_sheet1_r0070,Sheet1,70,53,Tile,Roman,GT602151R,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_6a1e525b3268
sample_sheet1_r0071,Sheet1,71,54,Tile,Roman,GT602138R,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_2088b7a27f69
sample_sheet1_r0072,Sheet1,72,55,Tile,Roman,G220501 Venere dust,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_7cfa02853bc2
sample_sheet1_r0073,Sheet1,73,56,Tile,Roman,GT602153R,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_903719d2ea97
sample_sheet1_r0074,Sheet1,74,57,Tile,Roman,G224001 Sandstone Bone,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_4d57a0a2bba7
sample_sheet1_r0075,Sheet1,75,58,Tile,Roman,GT602154R DMarseille Bone,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_f4596a8800f7
sample_sheet1_r0076,Sheet1,76,59,Tile,Roman,G330800 dLastrico Ash,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_2da1ab84b6fa
sample_sheet1_r0077,Sheet1,77,60,Tile,Roman,GT602600R dTerazzo Bone,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_b36070b84299
sample_sheet1_r0078,Sheet1,78,61,Tile,Roman,GT602157R dMarseille Coffee,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_dfb1ecdd3cd7
sample_sheet1_r0079,Sheet1,79,62,Tile,Roman,GT602155R dMarseille Beige,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_4e1525a9698e
sample_sheet1_r0080,Sheet1,80,63,Tile,Roman,G330801 dLastrico Grey,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_0bf15983f9ff
sample_sheet1_r0081,Sheet1,81,64,Tile,Roman,GT602156R dMarseille Grey,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_61b062036a01
sample_sheet1_r0082,Sheet1,82,65,Tile,Roman,GT602023R dBali Beige,,,,,,1,3,1,BORROWED,berkah,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_d8c16daa4651
sample_sheet1_r0083,Sheet1,83,66,Tile,Roman,GT602602R dTerazzo Charcoal,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_35befd45361b
sample_sheet1_r0084,Sheet1,84,67,Tile,Roman,GT1262003R dConcreto Grigio,,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_88125c9c0a23
sample_sheet1_r0085,Sheet1,85,68,Tile,Roman,GT912237R,Mahony pine,,,,,1,3,1,BORROWED,berkah,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_ad30bc96d342
sample_sheet1_r0086,Sheet1,86,69,Tile,Roman,GT912238R,Mahony rosato,,,,,1,3,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_ba1ed6242f2a
sample_sheet1_r0087,Sheet1,87,82,Tile,Niro,GCA05,,,,,,1,4,1,BORROWED,Berkah,Di ambil mas ber,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_578b2ad0b4e5
sample_sheet1_r0088,Sheet1,88,71,Tile,Venus,Marble Sand ivory,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_a9c06cf70c97
sample_sheet1_r0089,Sheet1,89,72,Tile,DPhaus,Beton Grigio,,ven_68902a22673b,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_8620fda529d6
sample_sheet1_r0090,Sheet1,90,73,Tile,DPhaus,Florence,,ven_68902a22673b,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_0ccf77178f52
sample_sheet1_r0091,Sheet1,91,74,Tile,DPhaus,Engineering Stone W,,ven_68902a22673b,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_feeaf9acf92d
sample_sheet1_r0092,Sheet1,92,75,Tile,DPhaus,Terrazzo Nero,,ven_68902a22673b,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_f228e8db8147
sample_sheet1_r0093,Sheet1,93,76,Tile,Venus,FS0013mc,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_ebfe5c06c537
sample_sheet1_r0094,Sheet1,94,77,Tile,Venus,WSSZ009M,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_d47061ed3da4
sample_sheet1_r0095,Sheet1,95,78,Tile,Venus,YS60303,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_b82c076861ca
sample_sheet1_r0096,Sheet1,96,79,Tile,Venus,YS60231,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_1e3e6283983c
sample_sheet1_r0097,Sheet1,97,80,Tile,Venus,YS60232,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_5139ef8661b4
sample_sheet1_r0098,Sheet1,98,81,Tile,Venus,ICC upstone cloud,,ven_b8b22aedc372,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_1ccb137f99ec
sample_sheet1_r0099,Sheet1,99,83,Tile,Dphaus,Terrazo blue chip,,ven_68902a22673b,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_267d6c817724
sample_sheet1_r0100,Sheet1,100,70,Tile,Niro Granite,GTG06 Arini,,,,,,1,4,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_573d887dd20e
sample_sheet1_r0101,Sheet1,101,84,Tile,Wisma sehati,HY-HG60069,,ven_c1ab493c45f7,,,,1,5,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber,Material candidate: matcand_sample_483eb52beec1
