candidate_key,source_context,source_sheet,source_rows,vendor_key_candidate,vendor_key_confirmed,brand_candidate,brand_confirmed,category_tags_candidate,category_tags_confirmed,source_product_or_type,product_name_confirmed,sku_confirmed,motif_candidate,reference_url_candidate,folder_url_candidate,price_before_discount,price_after_discount,price_unit,material_status,bq_status,blocker_reasons,decision_notes
matcand_list_r0023,LIST_DIRECTORY,List,23,ven_f06965c558f1,,Ardente lightning,,Lighting|Hanging Lamp|Table Lamp|Wall Lamp|Ceiling Lamp|Chandelier,,"Hanging Lamp, Table Lamp, Wall Lamp, Ceiling Lamp, Chandelier",,,,https://www.ardentelighting.com/_files/ugd/2727bf_1b248f64be124796873fcfa06c7c31f5.pdf,https://drive.google.com/drive/folders/1YCJYkIQ0mc2HVe5J-tGu7bCd_6E0sCCi?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0024,LIST_DIRECTORY,List,24,ven_4e8a7f35531a,,Armonia Paint,,Wall Finishing|Texture Paint,,Texture Paint,,,,https://armoniapaint.com/our-textures,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0025,LIST_DIRECTORY,List,25,ven_795f1b827bd0,,Arna,,Flooring|Marble - Industrial - Stone - Terrazzo - Wood,,Marble - Industrial - Stone - Terrazzo - Wood,,,,,https://drive.google.com/drive/folders/16FQLqyLXlmgOpEUm8ywIl35EfZVRaWZo?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0026,LIST_DIRECTORY,List,26,ven_08e64401daf2,,Artemi Zenith,,CNC|Cutting & Engraving,,Cutting & Engraving,,,,https://artemigroup.com/wp-content/uploads/2025/02/CNC-COMBINED-Spare-3mm.pdf,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0027,LIST_DIRECTORY,List,27,ven_08e64401daf2,,Artemi Zenith,,Door & Window|Aluminium Window Sliding Door,,Aluminium Window Sliding Door,,,,https://artemigroup.com/wp-content/uploads/2025/02/Fremo-Artemi-Brochure-230718-BACKGROUND-PUTIH.pdf,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0028,LIST_DIRECTORY,List,28,ven_79b94f083126,,Artisanwood,,Wall Finishing Decking|WPC,,WPC,,,,https://tr.ee/0cOFUh_1-X,https://drive.google.com/drive/folders/1fxDAZzCDccL8TyF9LiNZwoUNOao0sRBZ?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0029,LIST_DIRECTORY,List,29,ven_2be6af814443,,Arturo Paint,,Wall Finishing|Texture Paint,,Texture Paint,,,,http://arturoflakesmulticolor.com/category/arturotone/,https://drive.google.com/drive/u/2/folders/1IFZDOF98oFe3EO77UjVq1kh4cTfJdmAR,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0030,LIST_DIRECTORY,List,30,ven_c65af8319e3f,,Ashetiles,,Stones|Marble Tiles,,Marble Tiles,,,,https://wa.me/c/6287883632349,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0031,LIST_DIRECTORY,List,31,ven_f33cfa0216cd,,Astana ID,,Furniture|Loose Furniture (Office Chair|Arm Chair|Stool),,"Loose Furniture (Office Chair, Arm Chair, Stool)",,,,,https://drive.google.com/drive/folders/11UmMZYy90BR20kzU4HSZB6UsG1Qgv_XC?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0032,LIST_DIRECTORY,List,32,ven_1a0c16850796,,Ataya,,Furniture|Home Furniture,,Home Furniture,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0033,LIST_DIRECTORY,List,33,ven_30c584c63614,,Ateja,,Fabric|Home Furnishing|Outdoor Fabric|Sunscreen|Drapery,,"Home Furnishing, Outdoor Fabric, Sunscreen, Drapery",,,,https://drive.google.com/drive/folders/1MXLka__DVp_zbTam4TvIFYWbrxPEOX7e,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0034,LIST_DIRECTORY,List,34,ven_ca6b032dc4e1,,Ateson Home,,Sanitary|Bathroom Accessories,,Bathroom Accessories,,,,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0035,LIST_DIRECTORY,List,35,ven_ca6b032dc4e1,,Ateson Home,,Sanitary|Sanitary Ware,,Sanitary Ware,,,,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0036,LIST_DIRECTORY,List,36,ven_ca6b032dc4e1,,Ateson Home,,Sanitary|Kitchen Fitting,,Kitchen Fitting,,,,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0037,LIST_DIRECTORY,List,37,ven_1c5b517de9c2,,Atipa,,Finishing|Flexible Tile - Wall Cladding,,Flexible Tile - Wall Cladding,,,,https://drive.google.com/file/d/1PJRkVRWHgiXjwHBgg9I3XZNzcZtXr5cE/view?usp=drivesdk,https://drive.google.com/file/d/1PJRkVRWHgiXjwHBgg9I3XZNzcZtXr5cE/view,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0038,LIST_DIRECTORY,List,38,ven_d85c8f805358,,Avere,,Lighting|Decorative Lamp,,Decorative Lamp,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0039,LIST_DIRECTORY,List,39,ven_69cf8458ee23,,Balian Decorative,,Flooring|SPC Flooring,,SPC Flooring,,,,https://baliandecorative.id/product-tag/lantai-spc/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0040,LIST_DIRECTORY,List,40,ven_69cf8458ee23,,Balian Decorative,,Flooring|Deck,,Deck,,,,https://baliandecorative.id/product-category/duradeck/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0041,LIST_DIRECTORY,List,41,ven_69cf8458ee23,,Balian Decorative,,Wall Finishing|Wall Panel,,Wall Panel,,,,https://baliandecorative.id/produk/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0042,LIST_DIRECTORY,List,42,ven_69cf8458ee23,,Balian Decorative,,Wall Finishing|Moulding,,Moulding,,,,https://baliandecorative.id/product-category/balian-wall-moulding/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0043,LIST_DIRECTORY,List,43,ven_e89b09934b29,,Bambusa Bali,,Home Decorations|Lighting|Decor|Furniture|Tableware|Mirror,,"Lighting, Decor, Furniture, Tableware, Mirror",,,,https://bamboo-interior.com/lighting,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0044,LIST_DIRECTORY,List,44,ven_8a5ef25edfd4,,Bata Antasari 34,,Materials|Bata Expose|Bata Tempel|Roster,,"Bata Expose, Bata Tempel, Roster",,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0045,LIST_DIRECTORY,List,45,ven_3a94be355dc9,,Batara Living,,Wall Finishing|Texture Paint,,Texture Paint,,,,,https://drive.google.com/drive/folders/1VbtTEOibj7kBYlr1zxfpSxDvQCiD-GEY?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0046,LIST_DIRECTORY,List,46,ven_049e84c86326,,Batavia Living Furniture,,Furniture|Outdoor Furniture - HDPE synthetic rattan,,Outdoor Furniture - HDPE synthetic rattan,,,,https://www.batavia-living.com/diningbar-chairs,https://drive.google.com/drive/folders/1QCh54Pp-pJQCHl_uXuD9w5sB2SmqZqU_?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0047,LIST_DIRECTORY,List,47,ven_777799fa8927,,BDA Group,,Flooring|Sintered stone,,Sintered stone,,,,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0048,LIST_DIRECTORY,List,48,ven_777799fa8927,,BDA Group,,Flooring|SPC,,SPC,,,,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0049,LIST_DIRECTORY,List,49,ven_777799fa8927,,BDA Group,,Flooring|Granite Tiles,,Granite Tiles,,,,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0050,LIST_DIRECTORY,List,50,ven_777799fa8927,,BDA Group,,Sanitary|Sanitary hardware,,Sanitary hardware,,,,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0051,LIST_DIRECTORY,List,51,ven_777799fa8927,,BDA Group,,Tiles|Mosaic,,Mosaic,,,,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0052,LIST_DIRECTORY,List,52,ven_1062cd9aa659,,Bell Living Lab,,Furniture|Loose Furniture - (Green Materials),,Loose Furniture - (Green Materials),,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0053,LIST_DIRECTORY,List,53,ven_d736b0e83afa,,Ben Wood,,Wood|Decorative Wood,,Decorative Wood,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0054,LIST_DIRECTORY,List,54,ven_6addd4403159,,Beninca,,Materials|Automation & Accessories Gate - Garage - Doors,,Automation & Accessories Gate - Garage - Doors,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0055,LIST_DIRECTORY,List,55,ven_483235d4faaa,,Beta Living,,Home Decorations|Decorative Objects,,Decorative Objects,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0056,LIST_DIRECTORY,List,56,ven_6f3815f1a7a8,,Beyond Floor,,Finishing|Vinyl|SPC,,"Vinyl, SPC",,,,https://berkatdecor.com/?s=beyond+floor&post_type=product,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0057,LIST_DIRECTORY,List,57,ven_bfd7c0b552fe,,Bianconero Compressa,,Stones|Compressed Marble - Artificial Granite Onyx Terrazzo Porcelain Tiles,,Compressed Marble - Artificial Granite Onyx Terrazzo Porcelain Tiles,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0058,LIST_DIRECTORY,List,58,ven_a0247b3dc1d3,,Bilionite,,Finishing|Solid Surface,,Solid Surface,,,,,https://ugc.production.linktr.ee/bf8b1d9a-6b24-404e-9801-e28d52a8b458_Catalogue-Bilionite-MHM-send.pdf,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0059,LIST_DIRECTORY,List,59,ven_274825f0f66e,,Biruindonesia,,Materials|Ceiling & Partition System - Rolling Door - Door Hardware - Flooring - Automatic doors & Gate,,Ceiling & Partition System - Rolling Door - Door Hardware - Flooring - Automatic doors & Gate,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0060,LIST_DIRECTORY,List,60,ven_53350e5acd3d,,Blackwood,,Furniture|Home Furniture,,Home Furniture,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0061,LIST_DIRECTORY,List,61,ven_435d2affb78f,,Blue Scope,,Steel|Steel Supplied,,Steel Supplied,,,,https://wa.me/c/628118716937,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0062,LIST_DIRECTORY,List,62,ven_a89a8486d095,,BODAQ by Hyundai L&C,,Finishing|Interior Film - PVC Sheet,,Interior Film - PVC Sheet,,,,https://online.anyflip.com/nuvyq/vxqo/mobile/index.html,https://drive.google.com/drive/folders/1YEe0HbTyqaEvV1WTUrRiXZ-D4NWb9Le2?usp=share_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0063,LIST_DIRECTORY,List,63,ven_590f5ec48334,,Bottega Artisan,,Flooring|Ceramics,,Ceramics,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0064,LIST_DIRECTORY,List,64,ven_dd2051ab9f98,,BOWE,,Flooring|Vinyl Tiles,,Vinyl Tiles,,,,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0065,LIST_DIRECTORY,List,65,ven_dd2051ab9f98,,BOWE,,Flooring|SPC,,SPC,,,,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0066,LIST_DIRECTORY,List,66,ven_dd2051ab9f98,,BOWE,,Wall Finishing|WPC,,WPC,,,,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
