severity,entity_type,source_sheet,source_row,source_key,issue_code,issue_detail,suggested_action
WARN,VendorLink,List,132,Fabrica Indonesia,LINK_NOT_HTTP_URL,Drive/folder katalog: Fabrica,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,154,Germany Brilliant,LINK_NOT_HTTP_URL,Website: Produk Perlengkapan Rumah Terbaik,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,154,Germany Brilliant,LINK_NOT_HTTP_URL,Instagram: Germany Brilliant Official (@gbsanitary1) • Instagram photos and videos,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,162,Green Leaves,LINK_NOT_HTTP_URL,Drive/folder katalog: Green Leaves Carpet,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,197,Inston,LINK_NOT_HTTP_URL,Website: Inston,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,197,Inston,LINK_NOT_HTTP_URL,Drive/folder katalog: Inston - Beton Instan,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,222,Koru,LINK_NOT_HTTP_URL,Drive/folder katalog: Koru,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,223,Koru,LINK_NOT_HTTP_URL,Drive/folder katalog: Koru,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,226,Lalapis,LINK_NOT_HTTP_URL,Product website/katalog: Lalapis panel dekoratif | Lalalamp,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,229,Lantai Kayu Surabaya,LINK_NOT_HTTP_URL,Drive/folder katalog: LANTEKAYU CATALOGUE 2025 (AUGUST 2025).pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,230,Lantekayu,LINK_NOT_HTTP_URL,Product website/katalog: Eurotekno - Catalogues,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,231,Lantekayu,LINK_NOT_HTTP_URL,Drive/folder katalog: LANTEKAYU CATALOGUE 2025 (AUGUST 2025).pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,240,Loom & Stone Indonesia,LINK_NOT_HTTP_URL,Website: loomandstone.id,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,245,Lumo,LINK_NOT_HTTP_URL,Drive/folder katalog: TENSURA CATALOG LUMO bamboo veneer catalog.pdf LUMO CATALOG,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,247,Luxtura - Aplikator Suzuka Indonesia,LINK_NOT_HTTP_URL,Drive/folder katalog: Luxtura - Applicator Texture Paint,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,251,Magnolia V-ga,LINK_NOT_HTTP_URL,Drive/folder katalog: Magnolia Vga,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,256,Marmer X,LINK_NOT_HTTP_URL,Drive/folder katalog: Marmer X,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,270,Miratap,LINK_NOT_HTTP_URL,Drive/folder katalog: Best Selection miratap 2024.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,283,Morgen,LINK_NOT_HTTP_URL,Drive/folder katalog: Katalog,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,288,MUKA,LINK_NOT_HTTP_URL,Drive/folder katalog: MUKA,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,291,Naura Artificial,LINK_NOT_HTTP_URL,Drive/folder katalog: Naura Artificial,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,300,Olina Furniture,LINK_NOT_HTTP_URL,"Website: Olina Furniture – Reparasi & Custom Sofa, Custom Kursi, Padded Wall, Head Board & Divan, Rottan",Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,300,Olina Furniture,LINK_NOT_HTTP_URL,Instagram: Olina,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,331,Prona Max,LINK_NOT_HTTP_URL,Drive/folder katalog: KATALOG PRONA MAX.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,355,Roxy Glass,LINK_NOT_HTTP_URL,Website: www.roxyglass.com,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,364,Sentra Bata,LINK_NOT_HTTP_URL,Drive/folder katalog: Sentra Bata,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,374,Sisu Home,LINK_NOT_HTTP_URL,Drive/folder katalog: Sisu Home,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,375,Skayu,LINK_NOT_HTTP_URL,Drive/folder katalog: Skayu,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,376,Skywall,LINK_NOT_HTTP_URL,Website: www.langgeng.id,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,377,Sol by pdm,LINK_NOT_HTTP_URL,Drive/folder katalog: SoL_Company Profile 2025_.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,382,Stark Floor,LINK_NOT_HTTP_URL,Drive/folder katalog: KATALOG WEBSITE,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,406,The New Factory,LINK_NOT_HTTP_URL,Drive/folder katalog: The New Factory,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,473,Sanwacompany,LINK_NOT_HTTP_URL,Website: sanwacompany.id/ao/,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,478,Every collection,LINK_NOT_HTTP_URL,Drive/folder katalog: Katalog,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,479,Inovasi Adiwarna Raya,LINK_NOT_HTTP_URL,Drive/folder katalog: Katalog,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,481,Selia Project,LINK_NOT_HTTP_URL,Drive/folder katalog: Katalog,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
BLOCKER,MaterialCandidate,List,2,matcand_list_r0002,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,3,matcand_list_r0003,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,4,matcand_list_r0004,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,5,matcand_list_r0005,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,6,matcand_list_r0006,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,7,matcand_list_r0007,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,8,matcand_list_r0008,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,9,matcand_list_r0009,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,10,matcand_list_r0010,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,11,matcand_list_r0011,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,12,matcand_list_r0012,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,13,matcand_list_r0013,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,14,matcand_list_r0014,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,15,matcand_list_r0015,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,16,matcand_list_r0016,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,17,matcand_list_r0017,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,18,matcand_list_r0018,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,19,matcand_list_r0019,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,20,matcand_list_r0020,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,21,matcand_list_r0021,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,22,matcand_list_r0022,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,23,matcand_list_r0023,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,24,matcand_list_r0024,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,25,matcand_list_r0025,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,26,matcand_list_r0026,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,27,matcand_list_r0027,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,28,matcand_list_r0028,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,29,matcand_list_r0029,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,30,matcand_list_r0030,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,31,matcand_list_r0031,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,32,matcand_list_r0032,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,33,matcand_list_r0033,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,34,matcand_list_r0034,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,35,matcand_list_r0035,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,36,matcand_list_r0036,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,37,matcand_list_r0037,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,38,matcand_list_r0038,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,39,matcand_list_r0039,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,40,matcand_list_r0040,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,41,matcand_list_r0041,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,42,matcand_list_r0042,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,43,matcand_list_r0043,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,44,matcand_list_r0044,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,45,matcand_list_r0045,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,46,matcand_list_r0046,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,47,matcand_list_r0047,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
BLOCKER,MaterialCandidate,List,48,matcand_list_r0048,MATERIAL_IDENTITY_INCOMPLETE,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,"Konfirmasi Vendor, Brand, tags, nama produk/seri, dan SKU nyata sebelum memindahkan row ke 04_materials.csv."
