vendor_key,contact_person,contact_role,phone_number,email,source_sheet,source_row
ven_272a95c988a1,Sales,Sales,0818800849,,List,71
ven_081845095d69,Office,Office,081280034754; 081908012350,,List,72
ven_626aa2f881e1,Workshop,,085878612878; 0811272628,,List,73
ven_0567cff5547d,Office,Office,087859308077,,List,74
ven_d9e213342b64,Office,Office,08557703000,,List,75
ven_7ee65a7f0774,Office,Office,085283517950,,List,76
ven_e15f0e6c5390,Office,Office,081910633349,,List,77
ven_6c51b303a913,Winna,,081287481481,,List,78
ven_6c51b303a913,Fitri,,877478616970,,List,79
ven_329cf5a75892,Office,Office,081233868888; 0811678178; 081235000552,,List,80
ven_07dec2e349b4,Office,Office,081398998707; 081296690091,,List,81
ven_438d88760954,Showroom,Showroom,081288988031,,List,82
ven_8b3a5104d47e,Office,Office,087765833437; 0895329803888; 081220528173,,List,83
ven_65d80bb3afbe,Office,Office,081333093309,,List,89
ven_3d51c76427a1,Nitin Singh,,0818485624,,List,90
ven_7c714208a17a,Sales,Sales,081296690091,,List,91
ven_8d5352e3e11a,Herman Ichwandi,,085217103908,,List,92
ven_ac78a71c6338,Sales,Sales,081520488460,,List,94
ven_9b9673f7e54b,Office,Office,0215819089,,List,95
ven_e4065125debd,Office,Office,0215503420,,List,97
ven_bb6f5dd0a1d0,Office,Office,08118819884,,List,98
ven_34fa1da2ea67,Office,Office,082229510094,,List,99
ven_d5618dc78a72,Sales,Sales,081110017900,,List,100
ven_166451aae1e0,Office,Office,08118498892,,List,101
ven_166451aae1e0,Kiki,,081932365915,,List,102
ven_aa2f10b811c1,Office,Office,082167896565,,List,105
ven_7e89e4e5822e,Calvinn Tan calvinn.tan@tarkett.com,,+6581292911,,List,106
ven_a8f855fdd87d,Office,Office,081280496308,,List,107
ven_683e9fe8a233,Admin,Admin,08156723419,,List,108
ven_06e29c005cf2,Hilaludin,,085954263578,,List,109
ven_9a9b5d81b7c0,Office,Office,081281800333,,List,110
ven_ca4db976fdeb,Office,Office,08172022413,,List,112
ven_17d6ea7fcaba,Office,Office,,,List,113
ven_969bc72c6ee5,Faiz,,085175002523,,List,114
ven_68902a22673b,Mia marketing,,082134049160; 081807076277,,List,115
ven_55002693861a,Brian,,081939899998,,List,116
ven_bc70ffa782c1,Sales,Sales,082366299666,,List,118
ven_a8a649ce5f7b,Samuel Saturday Gerrit,,081119717865,,List,119
ven_9c83d6361566,Sales,Sales,081289102359,,List,120
ven_ad6cf204686c,Admin,Admin,08567351464,,List,121
ven_ed39aaf0ca39,Sales,Sales,‪08116380885‬,,List,122
ven_a0198c38063b,Laila Farmin,,08118693986; 082310078407,,List,123
ven_9a4670f03f8a,Sales,Sales,081806860639,,List,124
ven_a0da361379a2,Office,Office,081999090333,,List,125
ven_9c0000bf2ce6,Office,Office,081999291950; 081222400700,,List,126
ven_7986297c322d,Admin,Admin,08561423011,,List,127
ven_0de6ff1bdb5e,Office,Office,08985998995,,List,128
ven_d9dda9d154b8,Admin,Admin,087880683733,,List,129
ven_66a424a9a958,Office,Office,087881800733,,List,130
ven_78df057b8002,Office,Office,08111317600,,List,131
ven_a4503cde645f,Bambang,,089671690080,,List,132
ven_f615ca4de3e8,Office,Office,02129319352,,List,133
ven_55ff221ff4b0,Office,Office,089678999916,,List,134
ven_be8712f7a130,Sales,Sales,08119056868,,List,135
ven_0caad04c6b09,Office,Office,08118252900,,List,136
ven_62dd0db411ef,Sales,Sales,081928100777,,List,137
ven_cbe7bf39c3eb,Office,Office,081280034754,,List,138
ven_2c4062e4ecc5,Lenny,,0818860699; 08163675893,,List,139
ven_ea6b819f4338,Showroom,Showroom,082210912794,,List,140
ven_9e8e4c9ce97f,Office,Office,081112400700,,List,141
ven_46f323f24d67,Sales,Sales,08111363785,,List,142
ven_2885d8d02714,Office,Office,082325240760,,List,143
ven_f399f49bdfe7,Office,Office,0212520745,,List,144
ven_9396976be66f,Fadel,,085718547921,,List,146
ven_9ca3d53c9c5f,Sales,Sales,081318887494,,List,148
ven_b4bc9db6bb70,Workshop,,085772649319; 085725549269,,List,149
ven_c9015464958c,Ofifce,,081286397338,,List,150
ven_deabb7a07608,Office,Office,08118503018,,List,151
ven_31d7ef19c54d,Office,Office,08119701379,,List,152
ven_5993c0e0e7de,Chandra,,08111683979; 082168836868,,List,154
ven_769b752188c5,Store,,082244418456,,List,155
ven_3799141fe212,Benson - Yoocell,,8615099866549,,List,156
ven_5e31bd9b2818,Showroom,Showroom,08125541168,,List,157
ven_d05d45d50213,Office,Office,0898681634,,List,158
ven_1ff42278ed14,Deny,,085716972144,,List,159
ven_939258615867,Office,Office,0212520745,,List,160
ven_2ec8a2d6c77b,Office,Office,02122661863; 085882002205,,List,161
ven_a1ed656e82e1,Arcodius W. Adji,,082110038110,,List,162
ven_59a0a9b4b273,Any kartika,,085218009896; 085210738369,,List,163
ven_c00a073f0582,Winata,,08161867634,,List,166
ven_f179f6cc9968,Office,Office,02121201754; 08158039090,,List,168
ven_67187b2a8b9a,Office,Office,082333666082,,List,169
ven_ec7c23a2ceed,Mily,,087776008099; 087780155129,,List,170
ven_c1f76e1cdc6a,Putra pratama,,0215415374; 081296355355,,List,171
ven_9a5c65e45b2b,CSO,,089611991118,,List,180
ven_9a5c65e45b2b,Tifan Egy,,088299002000,,List,181
ven_9a5c65e45b2b,Ani Andriani,,088299002007,,List,182
ven_b06889103703,Putri,,08159081108; 08117138886; 087882532725,,List,183
ven_5d5d130af2ea,Office,Office,089673816877,,List,184
ven_a26ab4c0c0f4,Office,Office,082229700282,,List,185
ven_131b8fef76fd,Sales,Sales,08116333315,,List,186
ven_d83e31f2d681,Sales,Sales,08116333315,,List,187
ven_8dffa06cd9a2,Office,Office,02122056001,,List,188
ven_6715fea65fad,Office,Office,081212128896,,List,190
ven_df6cde4db8e1,Office,Office,085641059111,,List,191
ven_a95dcaf2644e,Sales,Sales,02129025166,,List,192
ven_abc55f73dad5,Yuda,,085779288490,,List,193
ven_b0fbddb4123c,Chris Project,,085956487200,,List,194
ven_5ca04f4cf64b,Office,Office,0816833682,,List,195
ven_236b51eb064f,Admin,Admin,082260009235; 081350009235,,List,196
ven_11b26a3fab78,Henry Saputra,,081287872389; 082225825810,,List,197
ven_0ee811b5ad8c,Niqobul Lubab,,081329065792,,List,198
ven_de53b2c64fcc,Sales,Sales,081280001168,,List,199
ven_1c823031c735,Admin,Admin,082299178824,,List,200
ven_86e59e7028b6,Office,Office,02155699256,,List,201
ven_6f04229ee25c,Office,Office,081802769879; 08170127407,,List,202
ven_fb07fe30d11b,Sales,Sales,082277708338,,List,203
ven_8753e447e2c2,Office,Office,081779415494,,List,204
ven_34b86361e18a,Sales,Sales,081213134810,,List,205
ven_0e5d187b3e53,Office,Office,08158886815,,List,206
ven_76c17381af93,Yola,,081388048662,,List,209
ven_655c0110d494,Sales,Sales,082115441802,,List,210
ven_cd7d80c914c8,Office,Office,081389312239,,List,211
ven_d99f9b9062d1,Office,Office,08111193000,,List,212
ven_8f87dd224ae5,Office,Office,08118593159,,List,213
ven_f7a18745a428,Office,Office,081229604485,,List,214
ven_91318d139327,Office,Office,087790120475,,List,215
ven_d1eb8aaf61cc,Regina,,082198555164,,List,217
ven_3e33ff231d04,Office,Office,02139703889; 081399333638,,List,218
ven_32e7ed0a463c,Sales,Sales,082135661535,,List,219
ven_f038fb53bba7,Office,Office,081803067999,,List,220
ven_7bab18bf0925,Saels,,087881925656,,List,221
ven_23bef74fe7b1,Sales,Sales,081806860639,,List,222
ven_20a79cf093bb,Sales,Sales,081293887588,,List,224
ven_eeeb264106e7,Workshop,,0818129565,,List,225
ven_b34ff857c0e5,Anisa,,089601440915,,List,226
ven_17a0febff7e5,Office,Office,085921939003,,List,227
ven_a595de6329a5,Office,Office,081297611116,,List,228
ven_29c1879a4fa5,Ayu,,081329777129,,List,229
ven_6df355082f07,Admin,Admin,082298988118,,List,231
ven_088234abfcc2,Office,Office,082136767622,,List,232
ven_07598aa32eeb,Office,Office,087777483669,,List,233
ven_968c18cd803c,Office,Office,085773873386; 085691066715,,List,235
ven_3614d3a53850,Sales,Sales,082366299666,,List,236
ven_6dc4cd76d6dc,Admin,Admin,082325641179,,List,237
ven_b91304f0d808,Admin,Admin,087824170785,,List,238
ven_c947223e4db1,Office,Office,085156592793,,List,239
ven_be650625cf31,Admin,Admin,085171244046,,List,240
ven_6bf835755eff,Office,Office,082335358557,,List,241
ven_a65103e5078f,Office,Office,081807394041,,List,242
ven_9476042a6722,Admin,Admin,082122487727,,List,243
ven_96bc32edf1dd,Admin,Admin,082120228700,,List,244
ven_a827b9ca384b,Sales,Sales,081315827120,,List,245
ven_f7d453760611,Office,Office,087741458933,,List,246
ven_91952cc9784e,Marchel,,0821-1771-565,,List,247
ven_7eb8d3d33e13,Office,Office,081234474786,,List,248
ven_7eb8d3d33e13,Office,Office,08155285393,,List,249
ven_344364d3403a,Admin,Admin,08111433335,,List,251
ven_5f16c3e2f49a,Steven Massie,,082113207378,,List,252
ven_c328a1ee5f75,Office,Office,0217257979,,List,253
ven_c328a1ee5f75,Office,Office,082122000733,,List,254
ven_b99df53219d7,Admin,Admin,081218619428,,List,255
ven_ab6f13a77ddb,Admin,Admin,082211999208,,List,256
ven_9b2ac30357d3,Office,Office,082122816397,,List,257
ven_bcece7584a3c,Admin,Admin,089660642696,,List,258
ven_60975f81fd8a,Office,Office,08118555565,,List,259
ven_5d7c2c9fabf7,Office,Office,081393252858,,List,261
ven_3ac202557105,Sales,Sales,0215996619,,List,262
ven_f2d5e8656cfc,Sales,Sales,087776760020,,List,263
ven_7f1383fe78f1,Office,Office,08111650678,,List,264
ven_578a099a1971,Admin,Admin,081324095632,,List,265
ven_0f52017ae615,Admin,Admin,08992488838,,List,267
ven_7b02fc389884,Office,Office,08170008585,,List,268
ven_75dde4a5f4e5,Admin,Admin,081221110123,,List,269
ven_e946c514ab64,Admin,Admin,08222000939,,List,270
ven_e1cb5f98a77d,Office,Office,08980030899,,List,271
ven_93f0a7352557,Admin,Admin,082125766135,,List,272
ven_4a00b877582f,Sales,Sales,087878938328,,List,276
ven_405dc7565658,Office,Office,081298389092,,List,278
ven_b8c335bebae9,Office,Office,08118086662,,List,280
ven_b6c4c02bb6a9,Office,Office,082228881388,,List,281
ven_174cb7087739,Office,Office,08112722285,,List,282
ven_eb26d4fa531a,CS,CS,08111651811,,List,283
ven_7499cd17353b,Sales,Sales,087745610040,,List,284
ven_c3382a83fb26,Office,Office,081212484818,,List,285
ven_6ff3920f8bef,Mulianda,,081385469262; 081311150777,,List,286
ven_c9d7d1a3b254,Office,Office,085778868689,,List,287
ven_5ef835f52085,Stephanie,,082211550902,,List,288
ven_da13c0600738,Office,Office,085217368042,,List,289
ven_0c5bf46ade9b,Admin,Admin,082288466555,,List,290
ven_5dd07ebf9483,Admin,Admin,082240004748,,List,291
ven_f383a44b528d,Workshop,,02318821177,,List,292
ven_92bad59e18e2,Office,Office,0212520745,,List,293
ven_de24dac85f38,Citra,,085890004552,,List,294
ven_5621190c287e,Admin,Admin,085842947549,,List,295
ven_0c5c0d8d474a,Office,Office,082320095600; 082140037000,,List,296
ven_fa8c20379f20,Office,Office,081288322997,,List,297
ven_dba9a0afd684,Office,Office,02130030527,,List,298
ven_3c3649fedf02,Irsad Sigit Priono,,08161113181,,List,299
ven_31a5e822f052,Andi Budiarto,,081398509768,,List,300
ven_f1d54f0338b4,Yigil,,+8615251750551,,List,301
ven_a26c1b056381,Office,Office,08128201414,,List,302
ven_d00b170da08b,Saras,,08119900083,,List,303
ven_d2d0390e7f27,Office,Office,08551503577,,List,304
ven_21d3368e5269,David,,0818149625; 0816659688,,List,305
ven_6e1a9da23e92,Paulus,,081329305717,,List,306
ven_8e016391c88c,Admin,Admin,081808974875,,List,307
ven_86f426b91150,Anggara,,082210008978,,List,309
ven_8c6a168a8812,Sales,Sales,085366885876,,List,311
ven_55e3e25c7c80,Office,Office,081326238100,,List,312
ven_8fa29922db26,Sales,Sales,085117003816,,List,313
ven_65506f583dcf,Office,Office,085890009200,,List,314
ven_7b09d281dedc,Workshop,,082247484909,,List,315
ven_96bb11a54e13,Office,Office,081280034754,,List,316
ven_704cbceea23b,Admin,Admin,085811281442,,List,317
ven_aa5a15f620e1,Sales,Sales,08158833690,,List,318
ven_a533b4385d94,Office,Office,08128887323,,List,319
ven_23ad77c1ae32,Sales,Sales,081332805727,,List,320
ven_b0fef621727f,Office,Office,02130020230,,List,321
ven_6b9bf3f62890,Office,Office,081258881552,,List,322
ven_bd52d4c5c71b,Admin,Admin,08121515253,,List,326
ven_a9687d4ef889,Office,Office,087818237689,,List,327
ven_cfb2820f0991,Amin,,081211760177,,List,328
ven_b86e4ba1ce75,Office,Office,081532888808,,List,329
ven_cc85ae74e86d,Admin,Admin,081351156666,,List,331
ven_f854da43e230,Sales,Sales,02162313238,,List,332
ven_957f74198d62,Workshop,,0859109700503,,List,333
ven_9689be17e5b0,Office,Office,081387782700,,List,334
ven_d1f9d15a5aa6,Office,Office,082110580047,,List,335
ven_a3e690053061,Office,Office,08988335602,,List,336
ven_0bb3e5c77136,Office,Office,02129460707,,List,337
ven_ea0a3f276643,Office,Office,0811847339,,List,339
ven_27b43fd8d911,Office,Office,0811847339,,List,341
ven_8d9e2ee1d9bd,Office,Office,0811847339,,List,342
ven_c1bd8ecd7783,Office,Office,0811847339,,List,343
ven_236e15b87c95,Office,Office,0811847339,,List,344
ven_8a6fd7c160a1,Office,Office,0818838887,,List,345
ven_288696c8f503,Office,Office,087877960113,,List,346
ven_e12d41d86c75,Office,Office,08112679094,,List,347
ven_294c203fd39f,Office,Office,02122323456,,List,348
ven_b625d86948f7,Office,Office,089685520389,,List,349
ven_4b12261f1338,Sales,Sales,08113550057,,List,351
ven_6c879f23b775,Admin,Admin,081211903580,,List,352
ven_c7b2cb55a920,Office,Office,087887049222,,List,353
ven_2f579564665b,Showroom,Showroom,082211222887,,List,354
ven_2f6ec155f398,Tania,,08119961331,,List,355
ven_2f6ec155f398,Febry,,089516115914,,List,356
ven_ff3444cb9f2d,Office,Office,08122224393,,List,357
ven_64a13c8394a2,Office,Office,08197981688,,List,358
ven_534647ddc3a0,Office,Office,082227770281,,List,359
ven_ddcf4bfae15d,Admin,Admin,08561521415,,List,360
ven_d92ae279af74,Office,Office,089696814735,,List,361
ven_5e9b5031198d,Office,Office,08113161080,,List,362
ven_9a7c57a92e92,Sales,Sales,08116333315,,List,363
ven_ffb844281605,Admin,Admin,081212609995,,List,364
ven_9d7ea0a869a5,Office,Office,0812888885778,,List,365
ven_9e94e3750303,Kevin S,,082115111313,,List,366
ven_31fce62b2e21,Office,Office,081298899441,,List,367
ven_87daad822c6e,Office,Office,0818184545,,List,368
ven_703b5e3c1f7d,Sales,Sales,085117005913,,List,370
ven_77fb08d2b315,Sales,Sales,085183083592,,List,372
ven_f1b091846568,Admin,Admin,087781816390,,List,373
ven_b8f4a9b2819d,Yani,,087781981520,,List,374
ven_10457db46ef5,Admin,Admin,081991240547,,List,375
ven_d5262c8b15d8,Erpandi,,085126183993; 081224224116,,List,376
ven_9ca87fe6e218,Dhefin Liem,,0881081905939,,List,377
ven_89e8e912c124,Office,Office,08118289700,,List,378
ven_893b35b79358,Office,Office,082162855623,,List,379
ven_2b1f0b2bda92,Office,Office,087799176633,,List,380
ven_e80938dd3117,Tifany,,0881024988999,,List,381
ven_93a16ce01ed0,Hairul Ridwan,,08118130105,,List,382
ven_9d229f377840,Office,Office,082228881388,,List,383
ven_f1a42604cd55,Office,Office,082228881388,,List,384
ven_e69c7c2268a1,Office,Office,082228881388,,List,385
ven_45f0fdd37fe5,Office,Office,087880000586,,List,386
ven_4131b6fdb7c0,Admin,Admin,085939612616,,List,387
ven_3254ad02899d,Sugi Shen,,08111389399; 55931845,,List,388
ven_c441e81afd42,Office,Office,087877515001,,List,389
ven_7dda47f14680,Workshop,,0895328037734,,List,390
ven_4e6c372cfb33,Office,Office,081288012230,,List,391
ven_48973dbd4188,Sales,Sales,08111876509,,List,392
ven_78dac1fec5f5,Andini Zahriani,,081213887284,,List,393
ven_32db990d8f05,Anita,,087751789852,,List,394
ven_07c05679b1cf,Panji,,8111130496,,List,395
ven_2cadf24e1fee,Admin,Admin,085894041995,,List,396
ven_bb49211a375d,Admin,Admin,08118363939,,List,397
ven_3b949d288337,Office,Office,082181900168,,List,398
ven_58f8d1e2afc5,Office,Office,08122813955,,List,400
ven_f2efb7bfe724,Adrian,,082125259292,,List,401
ven_98a409d1b6c9,Office,Office,085858816125,,List,402
ven_eb17b972269b,Office,Office,081311117599,,List,403
ven_9d78dce55984,Admin,Admin,08113850600,,List,404
ven_08ed19293fe4,Admin,Admin,08988877750,,List,405
ven_7b1cb52f8a7f,Alain,,081808997540,,List,406
ven_370a5d4cd966,Sales,Sales,08111689596,,List,407
ven_d37f48d80411,Chris Project,,085956487200,,List,408
ven_28b2a172c1af,Office,Office,02174709752,,List,409
ven_2717c3695dbc,Sales,Sales,085157955146,,List,410
ven_d79e8e4a6c05,Office,Office,0216519271,,List,411
ven_68c0edfe5ef6,Office,Office,089696814735,,List,412
ven_a46e0f4e2e93,Ahmad Imran,,088219900836; 088808950883,,List,413
ven_a46e0f4e2e93,Office,Office,088219900836,,List,414
ven_b45ea62bce8e,Sales,Sales,081297587313,,List,415
ven_672669ca4143,Admin,Admin,081313233888,,List,416
ven_672669ca4143,Sanjaya,,081316149275,,List,417
ven_77d774c120a8,Office,Office,02129025942,,List,419
ven_abccc93cd88f,Office,Office,0816667679,,List,421
ven_e46e3f7379cd,Office,Office,087799176633,,List,422
ven_ef02a2a902c6,Office,Office,087787182859,,List,423
ven_b8b22aedc372,Admin,Admin,085187000668,,List,424
ven_b8b22aedc372,Office,Office,081293930000,,List,425
ven_66d9de9a959e,Admin,Admin,081220671229,,List,429
ven_dc9866457415,Office,Office,082122361612,,List,430
ven_8d5cd763d2b8,Sales,Sales,0218631864,,List,431
ven_f97dd9fc613d,Office,Office,081282613337,,List,432
ven_2e70a05fd6b8,Francisca,,081292777398,,List,434
ven_8d87c632219e,Office,Office,02150986988,,List,435
ven_d348710974cb,Robby Wijaya,,085156813928,,List,436
ven_1de5b8114bec,Office,Office,085210869307,,List,437
ven_9da0e1dc48ff,Albe,,08613459007918,,List,438
ven_fb68e275084e,Office,Office,082281880089,,List,439
ven_2c8c051c0bc1,Sales,Sales,08113042828,,List,449
ven_50c2cb442e1e,Office,Office,081807590878,,List,450
ven_97c09253e374,Office,Office,081280595168,,List,451
ven_ac80b5088a39,Office,Office,081210650650,,List,452
ven_28d83845ff55,Admin,Admin,08119115988; 08174839938,,List,453
ven_b50172b38f4e,Sales,Sales,087785580695,,List,454
ven_bb19d2f1d3b1,Sales,Sales,081295015898,,List,455
ven_457e3606c579,Workshop,,082112646496,,List,456
ven_214ea6976c15,Office,Office,0811678178,,List,457
ven_5a2bb24dc707,Office,Office,087774040033,,List,458
ven_1b2a82a0b881,Office,Office,085888656548,,List,459
ven_46e4ecc8ebf3,Benyamin Tenglewier,,08119413139,,List,460
ven_c0018bc50090,Office,Office,08111317600,,List,461
ven_c553a7e10b6e,Office,Office,0215919073,,List,462
ven_9dceb0fe987e,Wendra,,08111617149,,List,463
ven_5504068fe882,Arief,,081287778995,,List,464
ven_ce0b4658a20f,Admin,Admin,081389209066,,List,465
ven_eb26d4fa531a,Chandra,,081999088999,,List,466
ven_a2258ca102d8,Office,Office,081225349473,,List,467
ven_40426d634a37,Office,Office,081119911222,,List,468
ven_a2b387634fb0,Julianti,,081288999028,,List,469
ven_5d3cb548ef3e,Lilis,,0818162914,,List,470
ven_2b058012652d,Office,Office,08119955271,,List,471
ven_8f4df4ab2108,Office,Office,081297040598,,List,472
ven_043ff27f9d47,Office,Office,082220009399,,List,473
ven_ffcb0076fbd6,Office,Office,085973642017,,List,474
ven_45d035fcad3f,Office,Office,082120162022,,List,475
ven_c1ab493c45f7,Venty,,081219908815,,List,476
ven_f9d6b98f4733,Esther,,08136883616,,List,477
ven_cc2ecce83f84,Office,Office,087881800733,,List,478
ven_5d557e2a8d36,Alfian,,0818512232,,List,479
ven_6e8d4a745c3f,Office,Office,,,List,480
ven_e0f8a1476969,Office,Office,081382652915,,List,481
ven_ab48de55bc94,Office,Office,081273857830,,List,482
