vendor_row_id,canonical_brand_name,contact_person,contact_role,phone_number,email,source_sheet,source_row,note
v0035,Bambusa Bali,Office,Office,085963019595,,List,43,contact_person = label departemen (tidak ada nama orang di sumber)
v0036,Bata Antasari 34,Admin,Admin,087878732532,,List,44,contact_person = label departemen (tidak ada nama orang di sumber)
v0037,Batara Living,Sales,Sales,08119231154,,List,45,contact_person = label departemen (tidak ada nama orang di sumber)
v0038,Batavia Living Furniture,Office,Office,08158907380,,List,46,contact_person = label departemen (tidak ada nama orang di sumber)
v0039,BDA Group,Office,Office,02162306450,,List,47,contact_person = label departemen (tidak ada nama orang di sumber)
v0040,Bell Living Lab,Office,Office,089654283197,,List,52,contact_person = label departemen (tidak ada nama orang di sumber)
v0041,Ben Wood,Office,Office,085817273261,,List,53,contact_person = label departemen (tidak ada nama orang di sumber)
v0042,Beninca,Sales,Sales,081288833000,,List,54,contact_person = label departemen (tidak ada nama orang di sumber)
v0043,Beta Living,Office,Office,082267779884,,List,55,contact_person = label departemen (tidak ada nama orang di sumber)
v0044,Beyond Floor,Berkat Dekor,General,087884907000,,List,56,
v0045,Bianconero Compressa,Office,Office,08170655556,,List,57,contact_person = label departemen (tidak ada nama orang di sumber)
v0046,Bilionite,Office,Office,081703135757,,List,58,contact_person = label departemen (tidak ada nama orang di sumber)
v0047,Biruindonesia,Sales,Sales,0216909893,,List,59,contact_person = label departemen (tidak ada nama orang di sumber)
v0048,Blackwood,Yohan Satya,General,08118889751,,List,60,
v0049,Blue Scope,Office,Office,08118716937,,List,61,contact_person = label departemen (tidak ada nama orang di sumber)
v0050,BODAQ by Hyundai L&C,Sales,Sales,085212688585; 08971096601,,List,62,contact_person = label departemen (tidak ada nama orang di sumber)
v0050,BODAQ by Hyundai L&C,Agung,General,085212688585; 08971096601,,List,62,
v0051,Bottega Artisan,Andray Saputra,Admin,081120209000,,List,63,
v0052,BOWE,Office,Office,085283862265,,List,64,contact_person = label departemen (tidak ada nama orang di sumber)
v0052,BOWE,Erna,General,085182595526,,List,65,
v0053,Brescia,Office,Office,081287875821; 085885775777,,List,67,contact_person = label departemen (tidak ada nama orang di sumber)
v0054,Brewsuniq Space,Admin,Admin,082173705688,,List,69,contact_person = label departemen (tidak ada nama orang di sumber)
v0055,Bunka Panca Karya,Sales,Sales,081295291233,,List,70,contact_person = label departemen (tidak ada nama orang di sumber)
v0056,Byoliving,Sales,Sales,0818800849,,List,71,contact_person = label departemen (tidak ada nama orang di sumber)
v0057,Byucksan - Paper Yarn,Office,Office,081280034754; 081908012350,,List,72,contact_person = label departemen (tidak ada nama orang di sumber)
v0058,Cambium Home,Workshop,Workshop,085878612878; 0811272628,,List,73,contact_person = label departemen (tidak ada nama orang di sumber)
v0059,CARA Living,Office,Office,087859308077,,List,74,contact_person = label departemen (tidak ada nama orang di sumber)
v0060,Cattelan Italia,Office,Office,08557703000,,List,75,contact_person = label departemen (tidak ada nama orang di sumber)
v0061,Cellux Ceiling,Office,Office,085283517950,,List,76,contact_person = label departemen (tidak ada nama orang di sumber)
v0062,Cemtex Innovation,Office,Office,081910633349,,List,77,contact_person = label departemen (tidak ada nama orang di sumber)
v0063,Centralite,Winna,General,081287481481,,List,78,
v0063,Centralite,Fitri,General,877478616970.0,,List,79,
v0064,Christ Wood,Office,Office,081233868888; 0811678178; 081235000552,,List,80,contact_person = label departemen (tidak ada nama orang di sumber)
v0065,Chroma Asia,Office,Office,081398998707; 081296690091,,List,81,contact_person = label departemen (tidak ada nama orang di sumber)
v0066,Cipta Semula Laminates,Showroom,Showroom,081288988031,,List,82,contact_person = label departemen (tidak ada nama orang di sumber)
v0067,Citatah,Office,Office,087765833437; 0895329803888; 081220528173,,List,83,contact_person = label departemen (tidak ada nama orang di sumber)
v0068,Clayxible,Office,Office,081333093309,,List,89,contact_person = label departemen (tidak ada nama orang di sumber)
v0069,Colortek,Nitin Singh,General,0818485624,,List,90,
v0070,Coloursofchroma,Sales,Sales,081296690091,,List,91,contact_person = label departemen (tidak ada nama orang di sumber)
v0071,Cordial,Herman Ichwandi,General,085217103908,,List,92,
v0073,Creatura Dekorasi,Sales,Sales,081520488460,,List,94,contact_person = label departemen (tidak ada nama orang di sumber)
v0074,CSL Leather,Office,Office,0215819089,,List,95,contact_person = label departemen (tidak ada nama orang di sumber)
v0075,D'Grassada,Office,Office,0215503420,,List,97,contact_person = label departemen (tidak ada nama orang di sumber)
v0076,Dastor Indonesia,Office,Office,08118819884,,List,98,contact_person = label departemen (tidak ada nama orang di sumber)
v0077,Deepa Lighting,Office,Office,082229510094,,List,99,contact_person = label departemen (tidak ada nama orang di sumber)
v0078,Deka Sistemi,Sales,Sales,081110017900,,List,100,contact_person = label departemen (tidak ada nama orang di sumber)
v0079,Dekkson,Office,Office,08118498892,,List,101,contact_person = label departemen (tidak ada nama orang di sumber)
v0079,Dekkson,Kiki,General,081932365915,,List,102,
v0080,Delica Aluminium,Office,Office,082167896565,,List,105,contact_person = label departemen (tidak ada nama orang di sumber)
v0081,Desso by Tarkett,Calvinn Tan,General,+6581292911,,List,106,
v0081,Desso by Tarkett,calvinn.tan@tarkett.com,General,+6581292911,,List,106,
v0082,Dextron,Office,Office,081280496308,,List,107,contact_person = label departemen (tidak ada nama orang di sumber)
v0083,DH Casa,Admin,Admin,08156723419,,List,108,contact_person = label departemen (tidak ada nama orang di sumber)
v0084,Diva Furniture,Hilaludin,General,085954263578,,List,109,
v0085,Diverso,Office,Office,081281800333,,List,110,contact_person = label departemen (tidak ada nama orang di sumber)
v0086,Djalin,Office,Office,08172022413,,List,112,contact_person = label departemen (tidak ada nama orang di sumber)
v0087,Doorhandle,Office,Office,,,List,113,contact_person = label departemen (tidak ada nama orang di sumber)
v0088,Dormakaba Group,Faiz,General,085175002523,,List,114,
v0089,Dphaus,Mia marketing,General,082134049160; 081807076277,,List,115,
v0090,Duma,Brian,General,081939899998,,List,116,
v0091,Ecourban,Sales,Sales,082366299666,,List,118,contact_person = label departemen (tidak ada nama orang di sumber)
v0092,EDL,Samuel Saturday Gerrit,General,081119717865,,List,119,
v0093,Elca,Sales,Sales,081289102359,,List,120,contact_person = label departemen (tidak ada nama orang di sumber)
v0094,Eleganza Tiles,Admin,Admin,08567351464,,List,121,contact_person = label departemen (tidak ada nama orang di sumber)
v0095,Elite Glass,Sales,Sales,‪08116380885‬,,List,122,contact_person = label departemen (tidak ada nama orang di sumber)
v0096,Ellogrin,Laila Farmin,General,08118693986; 082310078407,,List,123,
v0097,Enchanting,Sales,Sales,081806860639,,List,124,contact_person = label departemen (tidak ada nama orang di sumber)
v0098,ENVIRO,Office,Office,081999090333,,List,125,contact_person = label departemen (tidak ada nama orang di sumber)
v0099,Estica International,Office,Office,081999291950; 081222400700,,List,126,contact_person = label departemen (tidak ada nama orang di sumber)
v0100,Eterna,Admin,Admin,08561423011,,List,127,contact_person = label departemen (tidak ada nama orang di sumber)
v0101,Etivo Indonesia,Office,Office,08985998995,,List,128,contact_person = label departemen (tidak ada nama orang di sumber)
v0102,Evergreen Trees,Admin,Admin,087880683733,,List,129,contact_person = label departemen (tidak ada nama orang di sumber)
v0103,Every,Office,Office,087881800733,,List,130,contact_person = label departemen (tidak ada nama orang di sumber)
v0105,Expose Concrete,Office,Office,08111317600,,List,131,contact_person = label departemen (tidak ada nama orang di sumber)
v0106,Fabrica Indonesia,Bambang,General,089671690080,,List,132,
v0107,Fenstela,Office,Office,02129319352,,List,133,contact_person = label departemen (tidak ada nama orang di sumber)
v0108,Ferrum,Office,Office,089678999916,,List,134,contact_person = label departemen (tidak ada nama orang di sumber)
v0109,Fideco,Sales,Sales,08119056868,,List,135,contact_person = label departemen (tidak ada nama orang di sumber)
v0110,Fio,Office,Office,08118252900,,List,136,contact_person = label departemen (tidak ada nama orang di sumber)
v0111,Fobuma,Sales,Sales,081928100777,,List,137,contact_person = label departemen (tidak ada nama orang di sumber)
v0112,Foresco,Office,Office,081280034754,,List,138,contact_person = label departemen (tidak ada nama orang di sumber)
v0113,Forluxe,Lenny,General,0818860699; 08163675893,,List,139,
v0114,Forme Furniture,Showroom,Showroom,082210912794,,List,140,contact_person = label departemen (tidak ada nama orang di sumber)
v0115,Formwell,Office,Office,081112400700,,List,141,contact_person = label departemen (tidak ada nama orang di sumber)
v0116,Fortress Pintu Baja,Sales,Sales,08111363785,,List,142,contact_person = label departemen (tidak ada nama orang di sumber)
v0117,Frame Work,Office,Office,082325240760,,List,143,contact_person = label departemen (tidak ada nama orang di sumber)
v0118,Fronterra,Office,Office,0212520745,,List,144,contact_person = label departemen (tidak ada nama orang di sumber)
v0120,Fusion Local,Fadel,General,085718547921,,List,146,
v0121,GAIA Wallpanel,Sales,Sales,081318887494,,List,148,contact_person = label departemen (tidak ada nama orang di sumber)
v0122,Galeri Jati Asli,Workshop,Workshop,085772649319; 085725549269,,List,149,contact_person = label departemen (tidak ada nama orang di sumber)
v0123,Galleria,Ofifce,General,081286397338,,List,150,
v0124,Gammapaint,Office,Office,08118503018,,List,151,contact_person = label departemen (tidak ada nama orang di sumber)
v0125,Gatra Marmer,Office,Office,08119701379,,List,152,contact_person = label departemen (tidak ada nama orang di sumber)
v0126,Germany Brilliant,Chandra,General,08111683979; 082168836868,,List,154,
v0127,Globalindo Sinar Perkasa,Store,General,082244418456,,List,155,
v0128,Glorall Indonesia,Benson - Yoocell,General,=8615099866549,,List,156,
v0129,GMR Marble,Showroom,Showroom,08125541168,,List,157,contact_person = label departemen (tidak ada nama orang di sumber)
v0130,Grandome Indonesia,Office,Office,0898681634,,List,158,contact_person = label departemen (tidak ada nama orang di sumber)
v0131,Granito,Deny,General,085716972144,,List,159,
v0132,Granroof,Office,Office,0212520745,,List,160,contact_person = label departemen (tidak ada nama orang di sumber)
v0133,Green Alu,Office,Office,02122661863; 085882002205,,List,161,contact_person = label departemen (tidak ada nama orang di sumber)
v0134,Green Leaves,Arcodius W. Adji,General,082110038110,,List,162,
v0135,Green Teak,Any kartika,General,085218009896; 085210738369,,List,163,
v0136,"Habitat, Milan Tiles",Winata,General,08161867634,,List,166,
v0137,Habitus Concept,Office,Office,02121201754; 08158039090,,List,168,contact_person = label departemen (tidak ada nama orang di sumber)
v0138,Hafele,Office,Office,082333666082,,List,169,contact_person = label departemen (tidak ada nama orang di sumber)
v0139,Hale Magis,Mily,General,087776008099; 087780155129,,List,170,
v0140,Harfit,Putra pratama,General,0215415374; 081296355355,,List,171,
v0141,High Point,CSO,General,089611991118,,List,180,
v0141,High Point,Tifan Egy,General,088299002000,,List,181,
v0141,High Point,Ani Andriani,General,088299002007,,List,182,
v0142,Higold,Putri,General,08159081108; 08117138886; 087882532725,,List,183,
v0143,Idecemerlang,Office,Office,089673816877,,List,184,contact_person = label departemen (tidak ada nama orang di sumber)
v0144,Idefab,Office,Office,082229700282,,List,185,contact_person = label departemen (tidak ada nama orang di sumber)
v0145,Iluma,Sales,Sales,08116333315,,List,186,contact_person = label departemen (tidak ada nama orang di sumber)
v0146,Iluma Lighting,Sales,Sales,08116333315,,List,187,contact_person = label departemen (tidak ada nama orang di sumber)
v0147,INAX,Office,Office,02122056001,,List,188,contact_person = label departemen (tidak ada nama orang di sumber)
v0148,Indah Alam,Office,Office,081212128896,,List,190,contact_person = label departemen (tidak ada nama orang di sumber)
v0149,Indie.furn,Office,Office,085641059111,,List,191,contact_person = label departemen (tidak ada nama orang di sumber)
v0150,Indogress,Sales,Sales,02129025166,,List,192,contact_person = label departemen (tidak ada nama orang di sumber)
v0151,Indospace,Yuda,General,085779288490,,List,193,
v0152,Infiniti,Chris Project,General,085956487200,,List,194,
v0153,Inka Glass,Office,Office,0816833682,,List,195,contact_person = label departemen (tidak ada nama orang di sumber)
v0154,Inome Houseware,Admin,Admin,082260009235; 081350009235,,List,196,contact_person = label departemen (tidak ada nama orang di sumber)
v0156,Inston,Henry Saputra,General,081287872389; 082225825810,,List,197,
v0157,Interiorfurniturestore,Niqobul Lubab,General,081329065792,,List,198,
v0158,Inti Solar,Sales,Sales,081280001168,,List,199,contact_person = label departemen (tidak ada nama orang di sumber)
v0159,Jati Tari Meubel,Admin,Admin,082299178824,,List,200,contact_person = label departemen (tidak ada nama orang di sumber)
v0160,JSM Lighting by Skylite,Office,Office,02155699256,,List,201,contact_person = label departemen (tidak ada nama orang di sumber)
v0161,Kacaruma,Office,Office,081802769879; 08170127407,,List,202,contact_person = label departemen (tidak ada nama orang di sumber)
v0162,Kai Space - Kai Gallery,Sales,Sales,082277708338,,List,203,contact_person = label departemen (tidak ada nama orang di sumber)
v0163,Kaiiliving,Office,Office,081779415494,,List,204,contact_person = label departemen (tidak ada nama orang di sumber)
v0164,Kaisheng,Sales,Sales,081213134810,,List,205,contact_person = label departemen (tidak ada nama orang di sumber)
v0165,Kammer,Office,Office,08158886815,,List,206,contact_person = label departemen (tidak ada nama orang di sumber)
v0166,Karang Pilang,Yola,General,081388048662,,List,209,
v0167,Karya Graha Cemerlang,Sales,Sales,082115441802,,List,210,contact_person = label departemen (tidak ada nama orang di sumber)
v0168,Katta Indonesia,Office,Office,081389312239,,List,211,contact_person = label departemen (tidak ada nama orang di sumber)
v0169,Kayu Alam,Office,Office,08111193000,,List,212,contact_person = label departemen (tidak ada nama orang di sumber)
v0170,Kayu Asri,Office,Office,08118593159,,List,213,contact_person = label departemen (tidak ada nama orang di sumber)
v0171,Kayu Emas,Office,Office,081229604485,,List,214,contact_person = label departemen (tidak ada nama orang di sumber)
v0172,Kayu Lapis Indonesia,Office,Office,087790120475,,List,215,contact_person = label departemen (tidak ada nama orang di sumber)
v0173,KD Panels,Regina,General,082198555164,,List,217,
v0174,Kertasive,Office,Office,02139703889; 081399333638,,List,218,contact_person = label departemen (tidak ada nama orang di sumber)
v0176,Kitto Furniture,Sales,Sales,082135661535,,List,219,contact_person = label departemen (tidak ada nama orang di sumber)
v0178,Knobs And Pulls,Office,Office,081803067999,,List,220,contact_person = label departemen (tidak ada nama orang di sumber)
v0179,Kodai Door,Saels,General,087881925656,,List,221,
v0180,Koru,Sales,Sales,081806860639,,List,222,contact_person = label departemen (tidak ada nama orang di sumber)
v0181,Kreasiveneer Indonesia,Sales,Sales,081293887588,,List,224,contact_person = label departemen (tidak ada nama orang di sumber)
v0182,Kumeli Terrazo,Workshop,Workshop,0818129565,,List,225,contact_person = label departemen (tidak ada nama orang di sumber)
v0183,Lalapis,Anisa,General,089601440915,,List,226,
v0184,Lalauce Lighting,Office,Office,085921939003,,List,227,contact_person = label departemen (tidak ada nama orang di sumber)
v0185,Lanrose Painting,Office,Office,081297611116,,List,228,contact_person = label departemen (tidak ada nama orang di sumber)
v0186,Lantai Kayu Surabaya,Ayu,General,081329777129,,List,229,
v0187,Lantekayu,Admin,Admin,082298988118,,List,231,contact_person = label departemen (tidak ada nama orang di sumber)
v0189,Latterday,Office,Office,082136767622,,List,232,contact_person = label departemen (tidak ada nama orang di sumber)
v0190,Lava Solid Surface,Office,Office,087777483669,,List,233,contact_person = label departemen (tidak ada nama orang di sumber)
v0192,Leder Haus,Office,Office,085773873386; 085691066715,,List,235,contact_person = label departemen (tidak ada nama orang di sumber)
v0193,Line 8 --> satu group dengan Ecourban,Sales,Sales,082366299666,,List,236,contact_person = label departemen (tidak ada nama orang di sumber)
v0194,Lio Living,Admin,Admin,082325641179,,List,237,contact_person = label departemen (tidak ada nama orang di sumber)
v0195,Little Italy,Admin,Admin,087824170785,,List,238,contact_person = label departemen (tidak ada nama orang di sumber)
v0196,Lonilla living,Office,Office,085156592793,,List,239,contact_person = label departemen (tidak ada nama orang di sumber)
v0197,Loom & Stone Indonesia,Admin,Admin,085171244046,,List,240,contact_person = label departemen (tidak ada nama orang di sumber)
v0198,Ltech Indonesia,Office,Office,082335358557,,List,241,contact_person = label departemen (tidak ada nama orang di sumber)
v0199,Lumilight,Office,Office,081807394041,,List,242,contact_person = label departemen (tidak ada nama orang di sumber)
v0200,Luminaria Handles & Lighting,Admin,Admin,082122487727,,List,243,contact_person = label departemen (tidak ada nama orang di sumber)
v0202,Lumio Aluminium,Admin,Admin,082120228700,,List,244,contact_person = label departemen (tidak ada nama orang di sumber)
v0203,Lumo,Sales,Sales,081315827120,,List,245,contact_person = label departemen (tidak ada nama orang di sumber)
v0204,Luna Rattan,Office,Office,087741458933,,List,246,contact_person = label departemen (tidak ada nama orang di sumber)
v0206,Luxtura - Aplikator Suzuka Indonesia,Marchel,General,0821-1771-565,,List,247,
v0207,Madana,Office,Office,081234474786,,List,248,contact_person = label departemen (tidak ada nama orang di sumber)
v0207,Madana,Office,Office,08155285393,,List,249,contact_person = label departemen (tidak ada nama orang di sumber)
v0208,Magnolia V-ga,Admin,Admin,08111433335,,List,251,contact_person = label departemen (tidak ada nama orang di sumber)
v0209,Malibu,Steven Massie,General,082113207378,,List,252,
v0210,Malka Metal,Office,Office,0217257979,,List,253,contact_person = label departemen (tidak ada nama orang di sumber)
v0210,Malka Metal,Office,Office,082122000733,,List,254,contact_person = label departemen (tidak ada nama orang di sumber)
v0211,Marmer Berkat Abadi,Admin,Admin,081218619428,,List,255,contact_person = label departemen (tidak ada nama orang di sumber)
v0212,Marmer X,Admin,Admin,082211999208,,List,256,contact_person = label departemen (tidak ada nama orang di sumber)
v0213,Master Wood,Office,Office,082122816397,,List,257,contact_person = label departemen (tidak ada nama orang di sumber)
v0214,Masterlamp,Admin,Admin,089660642696,,List,258,contact_person = label departemen (tidak ada nama orang di sumber)
v0215,Matsuo indonesia,Office,Office,08118555565,,List,259,contact_person = label departemen (tidak ada nama orang di sumber)
v0216,Mbarep Jati (Pintu Jati Asli),Office,Office,081393252858,,List,261,contact_person = label departemen (tidak ada nama orang di sumber)
v0217,Megatone Powder Coating,Sales,Sales,0215996619,,List,262,contact_person = label departemen (tidak ada nama orang di sumber)
v0218,Meglio,Sales,Sales,087776760020,,List,263,contact_person = label departemen (tidak ada nama orang di sumber)
v0219,Miann Living,Office,Office,08111650678,,List,264,contact_person = label departemen (tidak ada nama orang di sumber)
v0220,Mil & Bay,Admin,Admin,081324095632,,List,265,contact_person = label departemen (tidak ada nama orang di sumber)
v0221,Milanceramic Tiles,Admin,Admin,08992488838,,List,267,contact_person = label departemen (tidak ada nama orang di sumber)
v0222,MiLL Aluminium,Office,Office,08170008585,,List,268,contact_person = label departemen (tidak ada nama orang di sumber)
v0223,Mimos Surface,Admin,Admin,081221110123,,List,269,contact_person = label departemen (tidak ada nama orang di sumber)
v0224,Miratap,Admin,Admin,08222000939,,List,270,contact_person = label departemen (tidak ada nama orang di sumber)
v0226,Modeco,Office,Office,08980030899,,List,271,contact_person = label departemen (tidak ada nama orang di sumber)
v0227,Modern Dekorindo,Admin,Admin,082125766135,,List,272,contact_person = label departemen (tidak ada nama orang di sumber)
v0228,Moire,Sales,Sales,087878938328,,List,276,contact_person = label departemen (tidak ada nama orang di sumber)
v0230,Monolith,Office,Office,081298389092,,List,278,contact_person = label departemen (tidak ada nama orang di sumber)
v0231,Monoliving,Office,Office,08118086662,,List,280,contact_person = label departemen (tidak ada nama orang di sumber)
v0232,Monostar,Office,Office,082228881388,,List,281,contact_person = label departemen (tidak ada nama orang di sumber)
v0233,Moonliving,Office,Office,08112722285,,List,282,contact_person = label departemen (tidak ada nama orang di sumber)
v0234,Morgen,CS,General,08111651811,,List,283,
v0235,Morse Alam,Sales,Sales,087745610040,,List,284,contact_person = label departemen (tidak ada nama orang di sumber)
v0236,Mosaic Mass,Office,Office,081212484818,,List,285,contact_person = label departemen (tidak ada nama orang di sumber)
v0237,Mosaicart,Mulianda,General,081385469262; 081311150777,,List,286,
v0238,Mozza,Office,Office,085778868689,,List,287,contact_person = label departemen (tidak ada nama orang di sumber)
v0239,MUKA,Stephanie,General,082211550902,,List,288,
v0240,Muro Paint,Office,Office,085217368042,,List,289,contact_person = label departemen (tidak ada nama orang di sumber)
v0241,Murova Aluminium,Admin,Admin,082288466555,,List,290,contact_person = label departemen (tidak ada nama orang di sumber)
v0242,Naura Artificial,Admin,Admin,082240004748,,List,291,contact_person = label departemen (tidak ada nama orang di sumber)
v0243,New Wicker,Workshop,Workshop,02318821177,,List,292,contact_person = label departemen (tidak ada nama orang di sumber)
v0244,Nexsta,Office,Office,0212520745,,List,293,contact_person = label departemen (tidak ada nama orang di sumber)
v0245,Nobel Carpets,Citra,General,085890004552,,List,294,
v0246,Nood,Admin,Admin,085842947549,,List,295,contact_person = label departemen (tidak ada nama orang di sumber)
v0247,Novacolor,Office,Office,082320095600; 082140037000,,List,296,contact_person = label departemen (tidak ada nama orang di sumber)
v0248,Nu Stone Republic,Office,Office,081288322997,,List,297,contact_person = label departemen (tidak ada nama orang di sumber)
v0249,Nurco Lighting,Office,Office,02130030527,,List,298,contact_person = label departemen (tidak ada nama orang di sumber)
v0250,Nusa Sarana,Irsad Sigit Priono,General,08161113181,,List,299,
v0251,Olina Furniture,Andi Budiarto,General,081398509768,,List,300,
v0252,Olo Home,Yigil,General,+8615251750551,,List,301,
v0253,Omah Bata,Office,Office,08128201414,,List,302,contact_person = label departemen (tidak ada nama orang di sumber)
v0254,Onassis,Saras,General,08119900083,,List,303,
v0255,Onna,Office,Office,08551503577,,List,304,contact_person = label departemen (tidak ada nama orang di sumber)
v0256,Osborn,David,General,0818149625; 0816659688,,List,305,
v0257,Oscar Barisol,Paulus,General,081329305717,,List,306,
v0258,Oslo,Admin,Admin,081808974875,,List,307,contact_person = label departemen (tidak ada nama orang di sumber)
v0259,Paloma,Anggara,General,082210008978,,List,309,
v0260,Pamosproject,Sales,Sales,085366885876,,List,311,contact_person = label departemen (tidak ada nama orang di sumber)
v0261,Pandawa Indonesia,Office,Office,081326238100,,List,312,contact_person = label departemen (tidak ada nama orang di sumber)
v0262,Panelinc,Sales,Sales,085117003816,,List,313,contact_person = label departemen (tidak ada nama orang di sumber)
v0263,Panelku,Office,Office,085890009200,,List,314,contact_person = label departemen (tidak ada nama orang di sumber)
v0264,Papan Ruma Terrazo,Workshop,Workshop,082247484909,,List,315,contact_person = label departemen (tidak ada nama orang di sumber)
v0265,Paper Yarn,Office,Office,081280034754,,List,316,contact_person = label departemen (tidak ada nama orang di sumber)
v0266,Penta Prima Paint,Admin,Admin,085811281442,,List,317,contact_person = label departemen (tidak ada nama orang di sumber)
v0267,Perintis Logam Metal,Sales,Sales,08158833690,,List,318,contact_person = label departemen (tidak ada nama orang di sumber)
v0268,Phomi,Office,Office,08128887323,,List,319,contact_person = label departemen (tidak ada nama orang di sumber)
v0269,Pietra Bianca,Sales,Sales,081332805727,,List,320,contact_person = label departemen (tidak ada nama orang di sumber)
v0270,Pineapple,Office,Office,02130020230,,List,321,contact_person = label departemen (tidak ada nama orang di sumber)
v0271,Plaswood,Office,Office,081258881552,,List,322,contact_person = label departemen (tidak ada nama orang di sumber)
v0272,Primaja Indokreasi,Admin,Admin,08121515253,,List,326,contact_person = label departemen (tidak ada nama orang di sumber)
v0273,Prime Stone,Office,Office,087818237689,,List,327,contact_person = label departemen (tidak ada nama orang di sumber)
v0274,Prisma Marble,Amin,General,081211760177,,List,328,
v0275,Prive Furniture,Office,Office,081532888808,,List,329,contact_person = label departemen (tidak ada nama orang di sumber)
v0276,Prona Max,Admin,Admin,081351156666,,List,331,contact_person = label departemen (tidak ada nama orang di sumber)
v0277,Puffin Paint,Sales,Sales,02162313238,,List,332,contact_person = label departemen (tidak ada nama orang di sumber)
v0278,Purnama Roster,Workshop,Workshop,0859109700503,,List,333,contact_person = label departemen (tidak ada nama orang di sumber)
v0279,Purva,Office,Office,081387782700,,List,334,contact_person = label departemen (tidak ada nama orang di sumber)
v0280,Quantum Marble,Office,Office,082110580047,,List,335,contact_person = label departemen (tidak ada nama orang di sumber)
v0281,RAG,Office,Office,08988335602,,List,336,contact_person = label departemen (tidak ada nama orang di sumber)
v0283,Rava Indonesia,Office,Office,02129460707,,List,337,contact_person = label departemen (tidak ada nama orang di sumber)
v0284,Reflecto,Office,Office,0811847339,,List,339,contact_person = label departemen (tidak ada nama orang di sumber)
v0285,Reflecto - Klinz,Office,Office,0811847339,,List,341,contact_person = label departemen (tidak ada nama orang di sumber)
v0286,Reflecto - Naked Stone,Office,Office,0811847339,,List,342,contact_person = label departemen (tidak ada nama orang di sumber)
v0287,Reflecto - Rewoll,Office,Office,0811847339,,List,343,contact_person = label departemen (tidak ada nama orang di sumber)
