vendor_row_id,canonical_brand_name,category_raw,tags,product_family_name,reference_url,folder_url,source_notes,jess_status,curated_by,active_status,verified_at,source_sheet,source_row,source_checksum,needs_review_multiline
v0012,Almafloor,Flooring,"[""Flooring""]",Vinyl - SPC,"https://almaflor.id/images/e_catalog_all_new_duora_max_core.pdf

https://almaflor.id/images/e_catalog_artisan.pdf

https://almaflor.id/images/e_catalog_duora_max_prime.pdf

https://almaflor.id/images/e_catalog_signature.pdf

https://almaflor.id/images/e_catalog_ultima.pdf",https://www.almaflor.id/images/Almaflor_E-catalog_2022.pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,14,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0013,Aluveen,Finishing,"[""Finishing""]",Aluminium Composite Panel,https://lapakarsitek.com/compro/brosur_aluminium_battens_2025.pdf?fbclid=PARlRTSAN1DElleHRuA2FlbQIxMAABpxFOii0ObZHFL04mGApCd9DLwpLqDhbDCo4bP6QKl-o1X0rj-yNQlGyqdO4t_aem_KLrA0Gp71j77-FtcXNs9bA,https://lapakarsitek.com/compro/EMI_ComPro_Eng.pdf?fbclid=PARlRTSAN1DLBleHRuA2FlbQIxMAABpxFOii0ObZHFL04mGApCd9DLwpLqDhbDCo4bP6QKl-o1X0rj-yNQlGyqdO4t_aem_KLrA0Gp71j77-FtcXNs9bA,DNP Aluminium Decor Panel (Artellion),VERIFIED_GREEN,Jessica,ACTIVE,,List,15,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0014,Amardeep Interior,Fabric,"[""Fabric""]","Upholstery, Curtains, Sheers, Outdoor Fabric","https://amardeepinterior.com/upholstery-sofa/

https://drive.google.com/file/d/1THUL_3fmOlo9z72xV-D32IlWdeVIEotd/view

https://drive.google.com/file/d/17ZdNCivuiC2CTnnlVANXjeMcHwHOjwfM/view

https://drive.google.com/file/d/17Fxf3aTawAFpaIHBiyd8h0oCBAyktj-M/view

https://amardeepinterior.com/drapery-curtain/

https://amardeepinterior.com/sheers/

https://amardeepinterior.com/outdoor-fabrics/",https://drive.google.com/drive/folders/1HqoasCi-f7QPrCVBk-92BUNyeBTUTBrn?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,16,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0015,Amidoorlight,Lighting,"[""Lighting""]",,,Amidoorlight,,VERIFIED_GREEN,Jessica,ACTIVE,,List,17,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0016,Antikmebel,Furniture,"[""Furniture""]","Loose Furniture (Sofa, Chair, Stool)","https://antikmebel.com/collections/armchair

https://antikmebel.com/collections/wingchair

https://antikmebel.com/collections/2-seater-1

https://antikmebel.com/collections/sofa-3-seater

https://antikmebel.com/collections/sofa-bed

https://antikmebel.com/collections/sofa-l-shape

https://antikmebel.com/collections/stool

https://antikmebel.com/collections/dining-chair",,Sofa,VERIFIED_GREEN,Jessica,ACTIVE,,List,18,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0017,Architech Indonesia,Materials,"[""Materials""]",Switch - Power Outlet,https://www.tokopedia.com/architech-in?source=search-autocomplete.04.01.01&utm_medium=google&utm_source=https%3A%2F%2Fanalytics.google.com%2Fanalytics%2Fweb%2Fprovision%2F%23%2Fp444544963%2Freports%2Fexplorer%3Fparams%3D_u..nav%253dmaui%26r%3Decomm-product%26ruid%3Decomm-product%2Cbusiness-objectives%2Cdrive-online-sales%26collectionid%3Dbusiness-objectives&utm_campaign=tokopedia,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,19,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0018,Arcomarmer,Finishing,"[""Finishing""]",Stones,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,20,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0018,Arcomarmer,Flooring,"[""Flooring""]",Marmer,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,21,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0019,Arde,Fabric,"[""Fabric""]",,,https://drive.google.com/drive/folders/1pHeto5KWNk5eiQv7jOn3nXSw99hytXGL?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,22,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0020,Ardente lightning,Lighting,"[""Lighting""]","Hanging Lamp, Table Lamp, Wall Lamp, Ceiling Lamp, Chandelier",https://www.ardentelighting.com/_files/ugd/2727bf_1b248f64be124796873fcfa06c7c31f5.pdf,https://drive.google.com/drive/folders/1YCJYkIQ0mc2HVe5J-tGu7bCd_6E0sCCi?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,23,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0021,Armonia Paint,Wall Finishing,"[""Wall Finishing""]",Texture Paint,https://armoniapaint.com/our-textures,,Fabric nya pakai Amardeep,INACTIVE_RED,,ARCHIVED,,List,24,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0022,Arna,Flooring,"[""Flooring""]",Marble - Industrial - Stone - Terrazzo - Wood,,https://drive.google.com/drive/folders/16FQLqyLXlmgOpEUm8ywIl35EfZVRaWZo?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,25,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0023,Artemi Zenith,CNC,"[""CNC""]",Cutting & Engraving,https://artemigroup.com/wp-content/uploads/2025/02/CNC-COMBINED-Spare-3mm.pdf,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,26,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0023,Artemi Zenith,Door & Window,"[""Door & Window""]","Aluminium Window

Sliding Door","https://artemigroup.com/wp-content/uploads/2025/02/Fremo-Artemi-Brochure-230718-BACKGROUND-PUTIH.pdf

https://artemigroup.com/wp-content/uploads/2025/02/Brosur-PCA-ALL-spare-3mm.pdf",,ini holding ada beberapa merek,VERIFIED_GREEN,Jessica,ACTIVE,,List,27,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,YES
v0024,Artisanwood,"Wall Finishing

Decking","[""Wall Finishing"", ""Decking""]",WPC,https://tr.ee/0cOFUh_1-X,https://drive.google.com/drive/folders/1fxDAZzCDccL8TyF9LiNZwoUNOao0sRBZ?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,28,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,YES
v0025,Arturo Paint,Wall Finishing,"[""Wall Finishing""]",Texture Paint,"http://arturoflakesmulticolor.com/category/arturotone/

http://arturoflakesmulticolor.com/category/claystone/

http://arturoflakesmulticolor.com/category/flakes/",https://drive.google.com/drive/u/2/folders/1IFZDOF98oFe3EO77UjVq1kh4cTfJdmAR,,VERIFIED_GREEN,Jessica,ACTIVE,,List,29,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0027,Ashetiles,Stones,"[""Stones""]",Marble Tiles,https://wa.me/c/6287883632349,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,30,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0028,Astana ID,Furniture,"[""Furniture""]","Loose Furniture (Office Chair, Arm Chair, Stool)",,https://drive.google.com/drive/folders/11UmMZYy90BR20kzU4HSZB6UsG1Qgv_XC?usp=drive_link,Kursi meja,VERIFIED_GREEN,Jessica,ACTIVE,,List,31,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0029,Ataya,Furniture,"[""Furniture""]",Home Furniture,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,32,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0030,Ateja,Fabric,"[""Fabric""]","Home Furnishing, Outdoor Fabric, Sunscreen, Drapery",https://drive.google.com/drive/folders/1MXLka__DVp_zbTam4TvIFYWbrxPEOX7e,,Last post 2023,INACTIVE_RED,,ARCHIVED,,List,33,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0031,Ateson Home,Sanitary,"[""Sanitary""]",Bathroom Accessories,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,34,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0031,Ateson Home,Sanitary,"[""Sanitary""]",Sanitary Ware,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,35,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0031,Ateson Home,Sanitary,"[""Sanitary""]",Kitchen Fitting,https://atesonhome.com/general-catalogue/,https://drive.google.com/drive/folders/1j2H-qhSTELFR73hOv19HIgvvyg7bRsim?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,36,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0032,Atipa,Finishing,"[""Finishing""]",Flexible Tile - Wall Cladding,https://drive.google.com/file/d/1PJRkVRWHgiXjwHBgg9I3XZNzcZtXr5cE/view?usp=drivesdk,https://drive.google.com/file/d/1PJRkVRWHgiXjwHBgg9I3XZNzcZtXr5cE/view,,VERIFIED_GREEN,Jessica,ACTIVE,,List,37,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0033,Avere,Lighting,"[""Lighting""]",Decorative Lamp,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,38,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0034,Balian Decorative,Flooring,"[""Flooring""]",SPC Flooring,https://baliandecorative.id/product-tag/lantai-spc/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,39,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0034,Balian Decorative,Flooring,"[""Flooring""]",Deck,https://baliandecorative.id/product-category/duradeck/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,40,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0034,Balian Decorative,Wall Finishing,"[""Wall Finishing""]",Wall Panel,"https://baliandecorative.id/produk/
https://baliandecorative.id/product-tag/aksesoris-wall-panel/",https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,41,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0034,Balian Decorative,Wall Finishing,"[""Wall Finishing""]",Moulding,https://baliandecorative.id/product-category/balian-wall-moulding/,https://drive.google.com/drive/folders/1vtS1jCwhJ_Sg9p4Itc8aoTU7x52DpdaA?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,42,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0035,Bambusa Bali,Home Decorations,"[""Home Decorations""]","Lighting, Decor, Furniture, Tableware, Mirror","https://bamboo-interior.com/lighting
https://bamboo-interior.com/decor
https://bamboo-interior.com/furniture",,,VERIFIED_GREEN,Jessica,ACTIVE,,List,43,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0036,Bata Antasari 34,Materials,"[""Materials""]","Bata Expose, Bata Tempel, Roster",,Katalog Antasari Update (3 April).pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,44,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0037,Batara Living,Wall Finishing,"[""Wall Finishing""]",Texture Paint,,https://drive.google.com/drive/folders/1VbtTEOibj7kBYlr1zxfpSxDvQCiD-GEY?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,45,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0038,Batavia Living Furniture,Furniture,"[""Furniture""]",Outdoor Furniture - HDPE synthetic rattan,"https://www.batavia-living.com/diningbar-chairs
https://www.batavia-living.com/lounge-chairs
https://www.batavia-living.com/sofacollection
https://www.batavia-living.com/tables",https://drive.google.com/drive/folders/1QCh54Pp-pJQCHl_uXuD9w5sB2SmqZqU_?usp=drive_link,Sunloungers lounge chair sofa,VERIFIED_GREEN,Jessica,ACTIVE,,List,46,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0039,BDA Group,Flooring,"[""Flooring""]",Sintered stone,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,47,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0039,BDA Group,Flooring,"[""Flooring""]",SPC,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,48,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0039,BDA Group,Flooring,"[""Flooring""]",Granite Tiles,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,49,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0039,BDA Group,Sanitary,"[""Sanitary""]",Sanitary hardware,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,50,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0039,BDA Group,Tiles,"[""Tiles""]",Mosaic,https://tokopedia.link/p6CMuSieVNb,https://drive.google.com/drive/folders/1d1v8eU0cmvGes-NNh3uHxG7AiGxEonmH?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,51,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0040,Bell Living Lab,Furniture,"[""Furniture""]",Loose Furniture - (Green Materials),,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,52,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0041,Ben Wood,Wood,"[""Wood""]",Decorative Wood,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,53,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0042,Beninca,Materials,"[""Materials""]",Automation & Accessories Gate - Garage - Doors,,Brochure LCK 2025.pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,54,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0043,Beta Living,Home Decorations,"[""Home Decorations""]",Decorative Objects,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,55,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0044,Beyond Floor,Finishing,"[""Finishing""]","Vinyl, SPC",https://berkatdecor.com/?s=beyond+floor&post_type=product,Beyond Floor,"Wood, Abstract, Terazzo, Stone",VERIFIED_GREEN,Jessica,ACTIVE,,List,56,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0045,Bianconero Compressa,Stones,"[""Stones""]",Compressed Marble - Artificial Granite Onyx Terrazzo Porcelain Tiles,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,57,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0046,Bilionite,Finishing,"[""Finishing""]",Solid Surface,,https://ugc.production.linktr.ee/bf8b1d9a-6b24-404e-9801-e28d52a8b458_Catalogue-Bilionite-MHM-send.pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,58,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0047,Biruindonesia,Materials,"[""Materials""]",Ceiling & Partition System - Rolling Door - Door Hardware - Flooring - Automatic doors & Gate,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,59,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0048,Blackwood,Furniture,"[""Furniture""]",Home Furniture,,,Sepertinya sudah tidak aktif lagi dari tahun 2020,INACTIVE_RED,,ARCHIVED,,List,60,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0049,Blue Scope,Steel,"[""Steel""]",Steel Supplied,https://wa.me/c/628118716937,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,61,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0050,BODAQ by Hyundai L&C,Finishing,"[""Finishing""]",Interior Film - PVC Sheet,"https://online.anyflip.com/nuvyq/vxqo/mobile/index.html
https://bodaq.com
https://www.tokopedia.com/bodaqinteriorfilm",https://drive.google.com/drive/folders/1YEe0HbTyqaEvV1WTUrRiXZ-D4NWb9Le2?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,62,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0051,Bottega Artisan,Flooring,"[""Flooring""]",Ceramics,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,63,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0052,BOWE,Flooring,"[""Flooring""]",Vinyl Tiles,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,VERIFIED_GREEN,Jessica,ACTIVE,,List,64,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0052,BOWE,Flooring,"[""Flooring""]",SPC,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,VERIFIED_GREEN,Jessica,ACTIVE,,List,65,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0052,BOWE,Wall Finishing,"[""Wall Finishing""]",WPC,,https://drive.google.com/drive/folders/16H8NEWPbn2pLIZkqg2umzZixGlTQnDqU?usp=sharing,,VERIFIED_GREEN,Jessica,ACTIVE,,List,66,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0053,Brescia,Flooring,"[""Flooring""]",Marmer,https://www.bresciastonebali.com/stone-collection/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,67,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0053,Brescia,Wall Finishing,"[""Wall Finishing""]",Marmer,https://www.bresciastonebali.com/stone-collection/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,68,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0054,Brewsuniq Space,Furniture,"[""Furniture""]",Loose Furniture,,Brewsuniq Space Catalogue_2024.pdf,Custyom Project,VERIFIED_GREEN,Jessica,ACTIVE,,List,69,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0055,Bunka Panca Karya,Materials,"[""Materials""]",Folding Gate - Spandek - Rolling Door,"https://www.bunkapancakarya.com/ 
https://www.tokopedia.com/bunkapancakarya",https://www.bunkapancakarya.com/assets/files/Katalog-2024.pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,70,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0056,Byoliving,Finishing,"[""Finishing""]",Rattan - Hand-woven Applications,,,"For facades, ceilings, railings, doors, windows, furniture, partitions, wall panel, artworks",VERIFIED_GREEN,Jessica,ACTIVE,,List,71,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0057,Byucksan - Paper Yarn,Wall Finishing,"[""Wall Finishing""]",SPC - Paper Fibers,,https://drive.google.com/drive/folders/1abosW9soQRLpO4XTFZumAWaRxXtqbuLo?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,72,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0058,Cambium Home,Furniture,"[""Furniture""]",Loose Furniture,https://www.cambiumhome.com/products/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,73,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0059,CARA Living,Furniture,"[""Furniture""]","Custom Furniture (Sofa, Chairs, Stool)",,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,74,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0060,Cattelan Italia,Furniture,"[""Furniture""]","Loose Furniture (Sofa, Chairs, Table, Bed - Italian Brand)",https://melandas-indonesia.com/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,75,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0061,Cellux Ceiling,Ceiling,"[""Ceiling""]",Decorative Ceiling,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,76,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0062,Cemtex Innovation,Wall Finishing,"[""Wall Finishing""]",Texture Paint,,https://drive.google.com/drive/folders/1_R4aVOMDNU0VPxc1sQUHKiun_rgSrb2v?usp=share_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,77,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0063,Centralite,Lighting,"[""Lighting""]",Industrial light - Neonlight LED Strip - Emergency,https://www.centralite.co.id/product,Centralite,,VERIFIED_GREEN,Jessica,ACTIVE,,List,78,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0063,Centralite,Lighting,"[""Lighting""]",Architectual Lighting,https://centralite.co.id/,https://drive.google.com/drive/u/0/folders/1v4f_EQ9VIYXVFyb3WSmN-Q4Mr3_Oq2_m?sort=13&direction=a,,VERIFIED_GREEN,Jessica,ACTIVE,,List,79,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0064,Christ Wood,Flooring,"[""Flooring""]",Solid Wood - Decking,,https://drive.google.com/file/d/1ITuMplF88CS5686nGcSSnZJFQJwtdGv6/view,"Merbau, Sonokeling, Jati",VERIFIED_GREEN,Jessica,ACTIVE,,List,80,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
